Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
ZINC08437991,-19.947,5.08842,4.9888,-4.19955,0,0,-17.5203,504.783,0,0.596092,1,0.613107,0.723837,0.276163,2198,555,584,24,106,31,33,2,119,34,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.0,0.0,2.0,5.0,0.0,3.0,-47001.5523726,1.0,20.0,0.0,0.0,0.0,0.0,-3.9,51.25,0.10,49.74,592.98,6.028442982509782,5.305462530802533,5.1172447018537,5.2154760988456,2.671637738286435,4.960412804705848,5.5758,-6.202142213908522,0,5.9665679385
ZINC01019341,-17.5498,28.417,10.0921,-0.868207,0,0,5.54083,548.362,0,0.535745,2,0.602575,0.741631,0.258369,1423,381,385,13,222,58,56,3,403,96,102,4,0,0,0,0,0,0,0,0,142,44,42,2,0,0,0,0,0,0,0,0,0,0,0,0,25.0,0.0,0.0,12.0,0.0,0.0,-63508.4666332,1.0,12.0,0.0,0.0,0.0,0.0,-9.6,38.69,0.65,87.74,634.54,5.280378393694022,4.759790154845158,4.770201310966811,5.238927961982465,3.0546617817149495,4.740176440985841,5.534900000000001,-3.9557365060179404,0,5.96721845457
ZINC00907251,-31.1121,6.3185,8.13264,-3.01457,0,-1.08565,-24.8704,775.654,1,0.580674,4,0.455255,0.676362,0.323638,2479,531,654,17,353,82,95,2,272,56,73,3,0,0,0,0,0,0,0,0,90,20,23,1,0,0,0,0,0,0,0,0,0,0,0,0,42.0,37.0,15.0,4.0,23.0,3.0,-86606.5013661,3.0,51.0,1.0,0.0,1.0,0.0,-5.7,55.26,0.08,97.12,597.85,6.476090461061115,5.958754115606617,6.243695810134311,6.00130805339106,3.6265907583716244,5.320302846290981,6.519400000000002,-6.987316949268058,0,6.03320956288
ZINC06195024,-16.5162,3.72777,6.77756,-2.24948,0,0,-11.4377,641.036,0,0.502451,1,0.518152,0.669554,0.330446,1793,466,447,19,284,71,71,1,406,100,97,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,0.0,1.0,5.0,0.0,0.0,-61898.8234997,0.0,8.0,0.0,0.0,0.0,0.0,-1.7,44.93,0.39,145.39,581.26,4.420087120197261,5.561441002053501,4.933261027230935,5.253379017593521,1.6601755997044734,4.338967573810829,5.640800000000002,-3.6738025439116333,0,5.96869618686
ZINC05520252,-20.542,13.3805,8.20931,-0.78381,0,0,-6.76434,548.299,0,0.563767,2,0.540373,0.657379,0.342621,1395,346,362,14,326,86,78,3,189,48,46,2,0,0,0,0,0,0,0,0,72,19,20,1,0,0,0,0,0,0,0,0,0,0,0,0,37.0,0.0,0.0,28.0,0.0,6.0,32767.0371932,1.0,17.0,0.0,0.0,0.0,0.0,-3.5,40.97,0.22,85.75,485.76,4.983951773958628,5.108854147297148,4.98244589194139,4.504385083860587,3.1771611870677265,4.257678980269634,5.5966,-5.204541030970605,0,5.96335413504
ZINC00727868,-18.6732,4.70803,6.29132,-4.31231,0,0,-15.0064,488.144,0,0.532722,2,0.612294,0.725005,0.274995,1595,406,452,17,357,91,91,4,328,74,81,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,9,12,0,0,0,0,0,32.0,0.0,2.0,16.0,0.0,0.0,38393.1541188,1.0,15.0,0.0,0.0,1.0,0.0,-4.5,51.05,0.14,85.25,539.35,4.904204106267216,5.3675165862470875,4.877200214452206,4.965666943778446,3.5767004438883565,6.18277535848487,5.4277,-4.4561449554580275,0,5.95201211355
ZINC08438246,-26.3397,4.64932,9.22562,-8.16382,0,-0.300243,-23.1875,795.809,2,0.565885,2,0.519913,0.678048,0.321952,2705,633,705,24,152,36,39,1,306,72,78,3,0,0,0,0,0,0,0,0,87,21,22,1,0,0,0,0,0,0,0,0,73,21,23,1,28.0,2.0,10.0,10.0,3.0,0.0,-105718.016637,1.0,20.0,0.0,0.0,1.0,0.0,-7.4,43.08,0.50,50.80,797.53,6.135233812816003,5.742321813020318,5.687529534798539,5.583906649406149,3.742621008688719,5.173073290866892,7.005399999999997,-6.4518636261140445,0,5.98552605028
ZINC06406305,-20.6523,3.50249,8.13586,-6.34243,0,-0.848566,-18.2528,568.909,1,0.573432,3,0.549114,0.633865,0.366135,2139,496,557,16,90,20,24,1,314,70,89,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,6,9,0,0,0,0,0,33.0,19.0,5.0,5.0,7.0,0.0,6475.43569145,2.0,12.0,0.0,0.0,1.0,0.0,-2.5,51.87,0.12,74.68,546.78,5.649888334462552,5.533912756077262,5.498796235875234,5.182096451659452,2.049087497036077,4.3160653698501665,5.8648,-6.541656212299728,0,5.98248589009
ZINC00627687,-20.5169,4.73897,3.11271,-3.60248,0,0,-19.2185,563.811,0,0.576861,0,0.565963,0.649565,0.350435,2094,497,537,18,271,63,74,3,217,55,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0,0.0,4.0,6.0,0.0,0.0,-200947.304035,1.0,18.0,0.0,0.0,0.0,1.0,-8.7,50.54,0.19,89.95,629.45,4.79292988864742,5.4780898912753875,5.29093757414807,5.25105509118659,2.525445052716894,4.219203962970662,6.967999999999997,-5.28764529684038,0,5.96350928967
ZINC02061306,-28.6514,13.576,8.55742,-2.52856,0,-0.212374,-15.7974,599.578,1,0.621453,2,0.543892,0.717453,0.282547,2070,493,544,20,188,49,48,2,69,19,17,1,0,0,0,0,0,0,0,0,0,0,0,0,113,31,31,0,115,26,29,1,0,0,0,0,51.0,10.0,0.0,18.0,9.0,0.0,-95467.8458139,3.0,23.0,0.0,0.0,0.0,0.0,-4.2,50.00,0.05,32.34,504.52,6.9520561528084475,5.531761630758132,5.423515764180264,5.280934400876896,3.6098449697453945,5.277550563860925,5.876899999999997,-7.033665947919303,0,5.95848496123
