Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,Label
ZINC08440545,-24.8165,1782.55,18.98,5.00871,0,-0.0666833,980.477,633.941,1,0.696118,2,0.583429,0.504119,0.495881,2630,612,853,20,108,27,36,1,411,102,134,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,17,33,1,0,0,0,0,0.0,11.0,119.0,0.0,2.0,0.0,453404.688455,1.0,28.0,0.0,0.0,1.0,0.0,-9.6,58.70,0.27,70.08,739.69,0
ZINC00626271,-28.3908,5.70938,7.89556,-3.50946,0,-0.824092,-22.3377,895.559,1,0.743396,13,0.338075,0.711092,0.288908,4468,1081,1434,59,173,38,55,2,983,232,310,14,0,0,0,0,0,0,0,0,151,34,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.0,13.0,0.0,17.0,2.0,10945.5397694,1.0,16.0,0.0,0.0,0.0,0.0,-1.8,61.06,0.23,85.30,643.29,0
ZINC02163547,-30.0376,6.30434,6.77871,-0.273359,0,0,-20.7007,869.845,0,0.743555,9,0.353862,0.677235,0.322765,3180,763,1009,38,661,152,205,8,362,82,116,4,0,0,0,0,0,0,0,0,610,144,204,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,43.0,17.0,0.0,19.0,1.0,19388.2218599,1.0,20.0,2.0,0.0,0.0,0.0,.2,56.42,0.05,82.26,538.23,0
ZINC01011181,-30.0564,4.99109,11.7691,-1.87842,0,0,-18.3009,844.817,0,0.74285,9,0.350577,0.689486,0.310514,3783,933,1217,45,577,138,177,8,765,181,241,10,0,0,0,0,0,0,0,0,170,39,55,2,122,32,42,0,0,0,0,0,0,0,0,0,0.0,32.0,7.0,0.0,30.0,1.0,144482.384695,0.0,18.0,1.0,0.0,0.0,0.0,.6,60.02,0.05,88.13,525.08,0
ZINC00838409,-25.627,23.275,6.63768,-4.37129,0,0,-11.5051,798.271,0,0.768089,8,0.397783,0.711337,0.288663,3678,888,1166,42,549,124,175,7,514,126,161,5,0,0,0,0,0,0,0,0,182,45,59,3,222,58,67,3,0,0,0,0,0,0,0,0,0.0,34.0,4.0,0.0,18.0,0.0,12125.4477173,0.0,17.0,1.0,0.0,0.0,0.0,1.3,53.46,0.10,91.22,531.25,0
ZINC01758660,-37.0516,6.19193,7.97861,-7.8703,0,0,-34.1538,930.522,0,0.742445,15,0.340608,0.742697,0.257303,4585,1084,1460,59,975,232,312,12,304,73,100,3,0,0,0,0,0,0,0,0,456,105,147,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,56.0,16.0,0.0,16.0,0.0,-55356.5302968,0.0,24.0,0.0,0.0,0.0,0.0,-1.3,65.54,0.15,101.80,707.95,0
ZINC08437737,-33.0062,8.93509,12.0996,-8.86827,-0.464978,0,-26.394,955.561,1,0.734377,13,0.353628,0.645126,0.354874,4450,1078,1442,50,602,139,193,6,741,186,235,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.0,17.0,0.0,23.0,5.0,-119616.877199,2.0,19.0,0.0,0.0,0.0,0.0,-.9,56.22,0.31,93.62,729.08,0
ZINC00728048,-27.4656,2.94531,10.3059,-9.81752,0,0,-25.9091,885.522,0,0.736646,14,0.37817,0.637961,0.362039,3878,932,1266,40,347,83,109,4,648,160,214,6,0,0,0,0,0,0,0,0,189,46,67,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,18.0,15.0,0.0,21.0,1.0,-38599.5668466,0.0,12.0,0.0,0.0,0.0,0.0,1.3,47.51,0.50,76.66,658.46,0
ZINC08438101,-29.7423,7.14979,7.72489,-0.889785,0,0,-18.8956,907.152,0,0.715756,8,0.359393,0.676608,0.323392,4419,1070,1442,58,711,171,233,9,477,113,152,6,0,0,0,0,0,0,0,0,170,41,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,51.0,18.0,0.0,22.0,0.0,-37759.9356887,1.0,32.0,2.0,0.0,0.0,0.0,-.3,57.06,0.15,75.52,633.04,0
ZINC02168153,-26.3865,5.27393,3.17287,-9.11063,0,0,-29.467,789.562,0,0.723231,5,0.403212,0.66999,0.33001,4051,948,1305,51,335,79,110,3,660,149,207,7,0,0,0,0,0,0,0,0,149,33,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,16.0,0.0,12.0,1.0,-107635.244575,0.0,35.0,1.0,0.0,0.0,0.0,-11.6,60.33,0.12,88.10,621.11,0
