Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,Label
ZINC00663241,-22.5111,9.24607,8.70717,-2.6342,0,0,-12.8395,546.293,0,0.587244,2,0.488803,0.689967,0.310033,1506,384,421,17,227,52,55,2,223,51,55,2,0,0,0,0,0,0,0,0,0,0,0,0,184,47,50,2,60,17,15,1,0,0,0,0,31.0,0.0,0.0,23.0,0.0,0.0,-96496.3679133,1.0,15.0,0.0,0.0,0.0,0.0,-3.3,47.10,0.06,55.13,436.53,0
ZINC08438172,-23.8943,5.49016,5.16886,-1.49944,0,0,-17.925,573.344,0,0.57291,0,0.555073,0.64799,0.35201,2189,584,613,25,204,57,57,3,68,20,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.0,0.0,0.0,23.0,0.0,0.0,-120074.705434,2.0,32.0,0.0,0.0,0.0,0.0,-5.3,51.20,0.10,46.92,667.02,0
ZINC08435017,-25.6543,4.75754,9.14008,-4.38909,-1.01699,0,-20.6295,624.347,1,0.550334,1,0.488302,0.633446,0.366554,2167,517,567,22,53,15,15,0,538,133,145,5,0,0,0,0,0,0,0,0,57,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0,5.0,14.0,15.0,6.0,3.0,-46750.6993284,2.0,26.0,0.0,0.0,1.0,0.0,-4.1,54.86,0.05,106.61,521.30,0
ZINC02067541,-26.3036,5.12476,9.24806,-3.72114,0,0,-19.0346,621.902,0,0.58559,3,0.552416,0.695028,0.304972,1947,480,477,16,243,64,67,3,543,132,145,6,0,0,0,0,0,0,0,0,125,38,32,1,0,0,0,0,0,0,0,0,0,0,0,0,46.0,1.0,9.0,16.0,0.0,4.0,-44691.5517115,1.0,20.0,0.0,0.0,1.0,0.0,-7.2,70.11,0.00,121.18,558.39,0
ZINC08437938,-19.3333,68.0661,8.47205,-7.2654,0,-0.62061,16.1351,667.321,1,0.551739,2,0.526086,0.627684,0.372316,1893,481,488,20,139,38,38,2,327,84,89,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,16,14,0,0,0,0,0,61.0,0.0,3.0,6.0,0.0,0.0,-139727.534121,0.0,21.0,0.0,0.0,1.0,1.0,-10.9,42.24,0.43,68.82,659.54,0
ZINC00702465,-31.1203,9.49885,12.7094,-0.40352,0,-1.29184,-16.9818,767.292,1,0.561788,4,0.455715,0.673963,0.326037,2485,573,667,23,270,64,70,3,348,85,92,4,124,24,36,1,0,0,0,0,104,22,29,1,0,0,0,0,0,0,0,0,0,0,0,0,41.0,15.0,14.0,15.0,14.0,4.0,-96193.8959192,2.0,28.0,0.0,0.0,1.0,0.0,-4.1,61.54,0.27,89.02,617.28,0
ZINC05918221,-24.4888,4.83107,7.03566,-4.28948,0,0,-20.8265,636.837,0,0.597036,2,0.523,0.73595,0.26405,2557,629,664,27,224,62,62,3,164,44,43,2,142,33,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0,0.0,9.0,9.0,0.0,0.0,35123.9225163,0.0,24.0,0.0,0.0,0.0,0.0,-4.3,54.53,0.18,71.09,597.80,0
ZINC01761882,-20.459,4.39446,5.12608,0.210025,0,0,-13.6934,500.037,0,0.563591,1,0.56865,0.7994,0.2006,2110,525,551,22,139,39,44,2,83,21,24,1,0,0,0,0,0,0,0,0,51,13,18,1,0,0,0,0,0,0,0,0,0,0,0,0,18.0,0.0,4.0,7.0,0.0,0.0,-11914.9885051,0.0,16.0,0.0,0.0,0.0,0.0,-2.7,26.89,0.58,32.67,580.75,0
ZINC00088170,-17.5187,3.57286,-0.416046,-0.0911698,0,0,-16.9398,417.128,0,0.555173,0,0.461352,0.675469,0.324531,1306,304,342,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,38,35,2,0,0,0,0,36.0,0.0,0.0,10.0,0.0,0.0,2642.89170353,0.0,24.0,0.0,0.0,0.0,0.0,-1.8,22.68,0.00,0.00,246.92,0
ZINC01902382,-26.7061,8.84214,13.968,0.677683,0,0,-9.30248,704.92,0,0.513687,5,0.472453,0.611539,0.388461,2087,550,537,22,495,113,119,4,110,26,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,27,27,1,0,0,0,0,43.0,0.0,8.0,16.0,0.0,1.0,62229.7685172,0.0,11.0,0.0,0.0,3.0,0.0,-3.3,51.94,0.08,52.30,524.87,0
