Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,nnscore,rfscore_v1,rfscore_v3,rfscore_v2,PLEClinear_p5_l1_s65536,PLECnn_p5_l1_s65536,PLECrf_p5_l1_s65536,vina_affinity,Label,rfscorevs
ZINC08435160,-22.5598,4.01624,7.374,1.27216,0,0,-12.5266,907.275,0,0.655602,8,0.41424,0.533887,0.466113,4002,1046,1214,58,289,76,86,4,534,142,168,4,0,0,0,0,0,0,0,0,123,35,48,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,3.0,10.0,5.0,4.0,13.0,-5016.95902063,0.0,23.0,0.0,0.0,1.0,0.0,-.9,48.57,0.25,75.71,710.96,7.053038141707662,7.861123303973809,6.736151015984019,6.7470564040959085,3.3722654851451037,5.315589554579689,6.1022000000000025,-6.109341989527441,0,5.96417530628
ZINC00643372,-29.2275,5.94251,8.75971,-5.02743,0,0,-24.2437,755.577,0,0.679986,8,0.495597,0.535889,0.464111,4128,1018,1259,60,316,77,98,6,471,114,144,8,0,0,0,0,0,0,0,0,183,40,50,4,0,0,0,0,0,0,0,0,0,0,0,0,27.0,8.0,17.0,3.0,12.0,11.0,-12765.7679641,0.0,18.0,0.0,0.0,0.0,0.0,-4.2,53.31,0.19,51.66,658.50,6.835899725470407,7.669435630813633,6.987632461760461,6.9789208255633275,3.869221769010326,4.718051262457346,6.438,-6.345580147507797,0,5.95995013681
ZINC00623492,-21.6762,3.49143,8.16002,0.41872,0,0,-12.6746,568.105,0,0.694217,5,0.518761,0.584386,0.415614,3048,743,904,55,677,164,199,12,516,120,152,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,19,26,0,0,0,0,0,19.0,8.0,4.0,3.0,10.0,2.0,84235.5048265,1.0,14.0,0.0,0.0,0.0,0.0,-2.5,47.17,0.11,72.96,477.69,5.980872949348685,7.340857250360753,6.6599204885278125,6.866416777611275,4.468276025452578,5.845202685141535,5.6922999999999995,-7.143282738593218,0,5.95969862574
ZINC00702451,-22.4498,23.1398,4.61461,-0.417618,0,0,-5.88203,753.062,0,0.674797,6,0.464836,0.559576,0.440424,3627,868,1048,82,431,102,144,12,313,75,92,7,0,0,0,0,0,0,0,0,137,32,45,2,380,93,141,6,0,0,0,0,0,0,0,0,55.0,4.0,0.0,3.0,6.0,2.0,-20513.5314566,1.0,29.0,0.0,0.0,0.0,0.0,.7,55.42,0.14,70.23,590.31,7.520422873736571,7.289058067099562,6.943953435064934,7.084840609446103,4.880172669577069,5.658759586006282,6.1599,-7.150673258071652,0,5.96993651684
ZINC00655611,-24.2391,12.9954,13.0828,-5.16931,0,0,-10.2146,736.739,0,0.656216,8,0.458616,0.550937,0.449063,3861,1028,1215,42,293,71,90,3,371,104,130,1,0,0,0,0,0,0,0,0,0,0,0,0,81,29,27,0,0,0,0,0,0,0,0,0,14.0,5.0,25.0,0.0,14.0,29.0,-119239.064678,1.0,25.0,0.0,0.0,0.0,0.0,-.7,50.36,0.36,62.55,688.10,6.569024473558072,7.298171865523362,6.290289197080697,6.427841664890675,2.2258478763128506,5.356460094557205,6.951200000000005,-6.457051614304605,0,5.96929890362
ZINC08437449,-25.2482,4.56265,12.1663,-3.96894,-1.19799,0,-15.9733,820.538,1,0.652148,7,0.40682,0.519986,0.480014,3969,922,1165,86,301,72,86,8,769,198,249,12,0,0,0,0,0,0,0,0,158,36,44,4,194,40,51,5,0,0,0,0,0,0,0,0,80.0,0.0,2.0,7.0,0.0,1.0,-134359.460988,1.0,19.0,3.0,0.0,0.0,0.0,-6.7,64.07,0.08,90.65,588.05,7.033463874474963,7.539773163503153,6.946592150849153,6.904737156010657,5.667777464774218,5.7501413535929276,6.2841,-6.784234048519318,0,5.97396112617
ZINC00622380,-28.7901,5.64621,5.67869,-0.12546,0,0,-22.0855,721.647,0,0.690337,4,0.450638,0.475785,0.524215,3528,827,989,78,158,37,43,5,565,144,178,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,28,34,2,46.0,7.0,1.0,1.0,13.0,16.0,-192800.349447,0.0,39.0,1.0,0.0,0.0,0.0,-2.1,48.66,0.14,56.79,551.35,5.254929258051215,6.243851650238653,5.986925347041846,6.122617719558223,5.118031600221044,6.88106792630098,6.6930999999999985,-6.672540818053736,0,6.03870887492
ZINC08434835,-30.9579,4.88524,18.1324,-4.56522,0,0,-16.9525,1115.01,0,0.672834,9,0.436115,0.520749,0.479251,5947,1489,1846,85,281,69,85,3,864,215,262,10,730,190,271,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0.0,29.0,8.0,0.0,2.0,143483.152238,0.0,38.0,1.0,0.0,1.0,0.0,.5,119.88,0.07,93.22,916.15,7.831075351843306,8.165810914141423,7.889650685259185,7.850798636252634,5.393385187255924,7.014729434541249,5.830500000000001,-9.354316383889584,0,6.28028905323
ZINC02061312,-28.9962,3.90634,14.5921,-6.59895,0,-1.23545,-21.336,749.334,2,0.679268,7,0.422124,0.553141,0.446859,3611,835,1011,74,528,114,139,14,544,116,142,14,0,0,0,0,0,0,0,0,0,0,0,0,237,66,76,2,0,0,0,0,0,0,0,0,51.0,7.0,3.0,5.0,13.0,17.0,10349.7763047,2.0,17.0,0.0,0.0,0.0,0.0,-.2,56.99,0.09,78.49,526.87,7.658043455006322,7.568944716339219,6.917804873515372,7.109328246753248,4.293306303273349,5.382146603036912,6.753100000000001,-7.196722164646956,0,5.99687032243
ZINC08437902,-26.2364,6.41068,13.2301,1.01601,0,0,-9.8641,782.281,0,0.657702,7,0.450981,0.545034,0.454966,3588,859,1046,83,291,69,87,7,419,105,128,9,196,45,52,6,0,0,0,0,124,29,43,3,0,0,0,0,151,38,47,1,0,0,0,0,50.0,4.0,16.0,0.0,7.0,24.0,-478359.864585,2.0,28.0,0.0,0.0,0.0,1.0,-4.2,58.30,0.18,81.42,616.70,7.47482644397324,7.282890586302586,6.654905200577205,6.798435550560554,2.891490210986409,5.179898658122564,6.214800000000001,-6.805482319555541,0,5.96045975335
ZINC01882830,-23.1206,4.07881,9.08667,-8.31436,-0.147473,0,-22.2881,774.86,1,0.647792,8,0.453525,0.52551,0.47449,3709,928,1139,53,250,63,80,6,422,115,136,4,0,0,0,0,0,0,0,0,0,0,0,0,130,37,38,0,0,0,0,0,0,0,0,0,55.0,0.0,16.0,1.0,0.0,13.0,-100372.038864,1.0,38.0,2.0,0.0,0.0,0.0,-7.1,55.70,0.00,64.69,574.88,7.034312993563678,6.863861513042513,6.227820404539902,6.467324688977689,4.803013440202034,5.913161497430628,5.994300000000004,-7.59453245781342,0,5.96539058211
ZINC02155841,-15.0107,1.92245,11.9095,-6.06932,-1.51554,-1.20604,-11.5837,759.478,2,0.641726,3,0.432098,0.496989,0.503011,3258,875,1093,33,248,69,86,0,833,222,275,11,95,30,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0.0,15.0,11.0,0.0,6.0,-64087.1691843,2.0,11.0,1.0,0.0,0.0,0.0,-3.1,67.03,0.04,113.01,568.08,5.166748559584098,6.2539166594516535,5.880756575702079,6.218139634199132,1.7554385232730356,4.36784556215425,5.4749,-6.31790808256045,0,5.97018185832
ZINC06445639,-24.1825,4.1555,11.5524,-5.36181,0,-1.39646,-17.9532,725.747,1,0.661718,9,0.439976,0.506516,0.493484,3942,963,1146,81,444,107,138,11,915,207,279,20,0,0,0,0,0,0,0,0,164,40,48,4,182,42,57,4,0,0,0,0,0,0,0,0,53.0,3.0,4.0,1.0,3.0,7.0,-72239.4817488,2.0,16.0,0.0,0.0,0.0,0.0,-1.3,69.38,0.24,140.97,636.49,6.834524587359925,7.569977443001441,7.032300764790768,7.056398900432899,3.30820269212591,5.223986588317874,6.065800000000001,-7.490137133497649,0,5.95712733463
ZINC01240782,-20.3022,43.9661,13.949,-8.24536,0,0,7.11426,547.702,0,0.665976,7,0.408117,0.567717,0.432283,1611,405,478,26,615,155,199,3,168,41,50,1,0,0,0,0,0,0,0,0,127,34,45,0,201,48,49,5,0,0,0,0,0,0,0,0,11.0,5.0,37.0,0.0,9.0,37.0,-334475.477271,4.0,14.0,0.0,0.0,1.0,0.0,-2.4,34.38,0.10,66.91,321.96,5.552872068041022,5.805980466422462,5.240287488095239,5.605288842546341,4.172438115944443,5.2211859145498565,6.014499999999997,-5.423104889334036,0,5.95194671911
ZINC00655453,-23.8059,3.44017,6.57374,-5.02923,0,-1.25006,-22.9011,688.33,1,0.671278,5,0.417137,0.58408,0.41592,2633,627,723,59,285,68,87,8,357,86,95,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,84,102,8,0,0,0,0,55.0,2.0,1.0,0.0,4.0,4.0,-71073.9943942,1.0,32.0,1.0,0.0,0.0,0.0,-8.5,40.28,0.19,50.36,460.33,6.852047411263207,6.252694682539681,5.8898691794871745,6.19848044466645,4.511331085531222,5.4059558252157505,6.4975,-6.502519376787421,0,5.95
ZINC00624232,-26.0561,4.2261,11.2283,-3.24083,-0.570142,0,-18.4462,809.855,1,0.667238,8,0.427493,0.626769,0.373231,3256,811,1000,39,356,83,96,9,414,113,135,4,61,20,23,0,0,0,0,0,0,0,0,0,118,30,43,0,0,0,0,0,0,0,0,0,26.0,3.0,29.0,0.0,4.0,14.0,-220264.616278,1.0,22.0,0.0,0.0,0.0,0.0,-1.6,56.31,0.17,59.59,584.53,6.720162937821316,7.14374851237652,6.342199207945648,6.669603029137525,3.890571580760538,5.830239745826463,6.358500000000007,-5.904657147003881,0,5.96200633098
ZINC00976347,-26.7224,4.03748,6.89942,0.406199,0,0,-18.5328,762.181,0,0.653128,5,0.427831,0.599085,0.400915,3656,857,1055,85,580,141,178,16,248,63,81,5,0,0,0,0,0,0,0,0,135,32,45,4,173,42,55,5,0,0,0,0,0,0,0,0,39.0,9.0,0.0,3.0,13.0,9.0,8436.83558076,1.0,31.0,1.0,0.0,0.0,0.0,-.8,53.68,0.14,72.95,571.81,6.93606022375602,7.240969743645236,6.531734335625159,7.035325438561439,6.620945340821969,5.964935239664785,5.921399999999998,-6.335335997232877,0,5.99953163893
ZINC03201398,-22.5369,4.97649,10.1522,1.90133,0,0,-8.92428,763.301,0,0.666907,10,0.384915,0.525421,0.474579,3065,737,908,47,258,73,78,1,181,43,47,4,0,0,0,0,0,0,0,0,0,0,0,0,120,36,38,0,0,0,0,0,0,0,0,0,16.0,3.0,9.0,0.0,7.0,17.0,50163.0432145,0.0,13.0,0.0,0.0,0.0,0.0,-1.7,28.56,0.37,45.91,497.46,5.855785223251899,6.344740006881993,5.76579272077922,6.013048335164836,3.7088335230633565,5.66674485417499,5.582800000000001,-5.290744179293168,0,5.96519727087
ZINC00198961,-23.02,4.15337,11.3237,-4.54617,-0.408723,0,-15.2,636.817,1,0.693546,3,0.408521,0.541317,0.458683,2989,726,868,59,611,156,187,5,162,42,53,3,0,0,0,0,0,0,0,0,151,40,47,1,0,0,0,0,0,0,0,0,0,0,0,0,40.0,4.0,12.0,15.0,10.0,8.0,-125727.43675,3.0,21.0,0.0,0.0,0.0,0.0,-.5,38.08,0.12,52.71,419.79,5.750880185775898,7.164387803252298,6.781706396952724,6.79265051787101,4.475476145686147,6.033425233667722,6.330000000000002,-6.6998887615742735,0,5.9689803076
ZINC01013096,-24.8731,3.33849,7.76075,0.714332,0,-0.727322,-15.7664,758.93,1,0.643158,9,0.413709,0.588111,0.411889,3717,889,1102,82,459,111,142,12,468,109,139,14,164,34,45,3,0,0,0,0,175,37,47,4,0,0,0,0,0,0,0,0,0,0,0,0,66.0,3.0,3.0,4.0,9.0,1.0,73402.5536231,1.0,25.0,1.0,0.0,0.0,0.0,1.2,54.58,0.17,71.41,561.36,6.778094400282835,7.503868630480626,7.0119059848484895,7.023862616328119,4.2074946179707595,5.273180582485584,6.4149,-8.435903540086432,0,5.95401721463
ZINC08437638,-24.7946,13.8816,18.1214,2.45089,0,0,2.96657,874.74,0,0.644673,12,0.40064,0.497008,0.502992,3984,968,1250,75,866,189,249,18,510,120,148,8,0,0,0,0,0,0,0,0,229,60,90,4,0,0,0,0,0,0,0,0,0,0,0,0,45.0,7.0,14.0,4.0,21.0,33.0,186756.602951,2.0,19.0,0.0,0.0,0.0,0.0,-2.1,57.06,0.28,118.21,654.99,7.785952547521225,7.618924979464977,7.217802516761018,7.265593917304908,2.5343870918692533,4.164775076849673,6.1791,-6.049649009193737,0,6.03998192436
ZINC00869085,-28.1531,4.30809,19.3573,-11.5286,-0.434025,-0.746214,-19.7234,803.842,2,0.670944,13,0.402404,0.578463,0.421537,3435,883,1069,45,770,207,247,7,461,124,146,4,0,0,0,0,0,0,0,0,0,0,0,0,199,41,52,6,0,0,0,0,0,0,0,0,31.0,2.0,45.0,2.0,6.0,13.0,-58979.5929693,6.0,14.0,0.0,0.0,0.0,1.0,2.2,57.15,0.09,102.55,558.71,8.124739175686878,7.935820446886445,7.41912851953602,7.285038242424236,4.745701486688172,5.694817380856477,5.893099999999999,-6.0157262160195435,0,6.02231999771
ZINC00856337,-25.0485,3.40735,12.1834,-1.50351,0,-1.44053,-15.1858,775.991,1,0.661289,12,0.413486,0.533345,0.466655,3535,835,1074,58,349,85,104,8,763,180,233,11,0,0,0,0,0,0,0,0,201,48,50,5,0,0,0,0,0,0,0,0,0,0,0,0,23.0,11.0,5.0,13.0,17.0,13.0,47728.5727737,2.0,19.0,0.0,0.0,0.0,0.0,-2.4,50.61,0.14,86.75,543.02,6.720963584573274,7.640160759684757,7.001136229437235,6.783603626429122,3.5517457328912507,4.725692289780344,6.6804999999999986,-6.650262767870583,0,5.96270408071
ZINC01801630,-30.5558,4.87645,11.9057,-5.60725,0,-1.39283,-23.6713,807.279,1,0.664855,9,0.426538,0.522719,0.477281,3979,981,1219,63,523,114,147,11,158,40,47,4,0,0,0,0,0,0,0,0,335,83,92,7,0,0,0,0,0,0,0,0,0,0,0,0,34.0,6.0,10.0,6.0,14.0,13.0,-89814.386731,2.0,18.0,0.0,0.0,0.0,0.0,-1.2,53.54,0.35,47.78,654.09,6.248590031031207,7.562235629648129,7.10903724170274,7.19456136319236,3.667480123577036,5.534289056721327,6.5955999999999975,-7.084610642733662,0,5.97017018382
ZINC08438068,-30.7806,6.15849,11.9888,-2.35364,0,0,-19.0939,783.423,0,0.663502,6,0.386026,0.564738,0.435262,4006,941,1149,101,636,148,184,17,500,111,145,11,0,0,0,0,0,0,0,0,310,69,83,7,0,0,0,0,0,0,0,0,0,0,0,0,56.0,7.0,0.0,5.0,10.0,6.0,-48547.2336716,0.0,32.0,1.0,0.0,0.0,0.0,-1.3,51.55,0.20,65.45,484.96,7.873168824954627,7.375980101731596,7.12978708960484,7.362171269008773,4.730813052465554,5.704020811936973,5.717899999999998,-7.914324234413452,0,5.95257314401
ZINC08435356,-32.351,5.07588,13.1384,-3.50114,0,0,-21.4287,747.728,0,0.666518,8,0.437326,0.575875,0.424125,3222,777,987,54,338,80,106,7,510,115,153,12,0,0,0,0,0,0,0,0,389,89,103,11,262,70,94,2,0,0,0,0,0,0,0,0,21.0,7.0,11.0,8.0,17.0,11.0,-43459.5811426,0.0,23.0,0.0,0.0,0.0,0.0,.1,50.64,0.25,53.76,557.50,7.529205424704879,7.699574461038956,6.991962882395386,7.163832166833168,3.6169801969923028,5.137533540890588,5.975600000000001,-6.1731141665013,0,5.95593375654
ZINC00683795,-30.1659,4.98998,11.9672,-8.1814,0,-1.49591,-27.6323,787.921,1,0.670121,8,0.431076,0.570828,0.429172,3514,808,982,69,357,85,97,8,646,162,200,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,38,45,5,0,0,0,0,37.0,15.0,6.0,0.0,23.0,18.0,-133913.589005,1.0,26.0,0.0,0.0,0.0,0.0,-9.3,48.96,0.23,77.43,569.38,6.644546405151585,8.078198074425568,6.619501964091467,6.5613277802197825,4.798206486994282,5.125933225888326,6.461800000000003,-5.992073726614869,0,5.98879175018
ZINC02068460,-33.0681,5.16339,7.18595,-2.93385,0,0,-27.9223,759.963,0,0.664474,7,0.429543,0.562295,0.437705,3681,861,1010,86,478,113,135,13,174,42,53,4,0,0,0,0,0,0,0,0,160,35,43,4,0,0,0,0,181,42,47,3,0,0,0,0,58.0,7.0,3.0,1.0,11.0,13.0,-89998.1760285,0.0,24.0,1.0,0.0,0.0,0.0,-.7,46.65,0.09,39.94,531.29,6.402986499018193,7.156126930735932,6.605983490009979,6.909044353979351,5.839241396592849,6.911411375407014,6.276499999999999,-7.565130536769962,0,5.97794814982
ZINC00702500,-23.3719,12.8128,12.0293,-5.04659,0,0,-10.275,677.816,0,0.660578,7,0.47086,0.519868,0.480132,3570,848,1063,71,302,76,105,5,616,156,184,11,174,44,54,5,0,0,0,0,114,29,39,3,0,0,0,0,0,0,0,0,0,0,0,0,27.0,5.0,12.0,5.0,12.0,18.0,-79226.5022266,1.0,17.0,0.0,0.0,0.0,0.0,-1.4,57.13,0.30,80.57,606.66,5.075234378869663,7.468524850482847,6.5436300945166,6.296074213952717,3.416120717903162,4.555802317933631,6.298100000000002,-5.569914432914454,0,5.96613645682
