Name Interface_Energy Label
4E1N_FRED_docked__PROTOSS_native -31.6454 1
ZINC08440029 -28.6817 0
ZINC08439889 -18.7902 0
ZINC06147567 -19.9009 0
ZINC00624606 -19.7425 0
ZINC00633899 17.2142 0
ZINC02070018 -31.0531 0
ZINC08438225 -30.1223 0
ZINC02237028 -26.6093 0
ZINC05949888 -23.2239 0
ZINC08437964 -25.0081 0
ZINC08437373 -26.0857 0
ZINC01013300 -33.7887 0
ZINC02070240 -25.8406 0
ZINC08434834 -25.2862 0
ZINC02171879 -23.8863 0
ZINC08433097 -34.1226 0
ZINC02063375 -29.6415 0
ZINC06144027 -22.626 0
ZINC08435546 -16.4677 0
ZINC02497224 -31.22 0
ZINC00660357 -25.555 0
ZINC08434963 -26.9557 0
ZINC08437904 -22.8434 0
ZINC02163751 -22.0703 0
ZINC02480679 -18.6527 0
ZINC00621935 -18.5736 0
ZINC00727935 -27.3228 0
ZINC02069952 -26.6597 0
ZINC08437848 -27.9749 0
ZINC00723991 -10.1811 0
ZINC02068889 -22.9678 0
ZINC00624679 -20.9397 0
ZINC02063566 -28.0222 0
ZINC08435603 -32.157 0
ZINC00659536 -38.5464 0
ZINC08435509 -16.6582 0
ZINC08433300 -13.998 0
ZINC02106602 -32.3546 0
ZINC01013162 -26.2798 0
ZINC08435657 -16.9159 0
ZINC08438753 -23.3474 0
ZINC08434825 -8.26277 0
ZINC08438828 -23.961 0
ZINC08435158 -24.3521 0
ZINC00625403 -23.5351 0
ZINC00848992 -23.204 0
ZINC05728874 -17.2697 0
ZINC02071979 14.4554 0
ZINC08435116 -24.3931 0
ZINC08435276 -30.932 0
ZINC08435305 -26.3316 0
ZINC00627441 -21.2148 0
ZINC02666668 -22.7936 0
ZINC00853504 12.7297 0
ZINC08439981 -28.1661 0
ZINC08438216 -17.9541 0
ZINC08395141 -22.0058 0
ZINC00881599 -8.05034 0
ZINC08435433 -23.7694 0
ZINC08435490 -13.7939 0
ZINC02155841 -27.2113 0
ZINC01891126 12.7297 0
ZINC00237625 -12.7863 0
ZINC08439793 1.82293 0
ZINC00650401 -12.9866 0
ZINC06544641 -30.6944 0
ZINC08435605 -29.5498 0
ZINC08435058 -29.8421 0
ZINC08438666 -21.9605 0
ZINC08439345 -19.1877 0
ZINC00728011 -36.3073 0
ZINC01902943 -36.0368 0
ZINC02171941 -23.1622 0
ZINC02061941 -26.997 0
ZINC05928795 -28.3591 0
ZINC08439822 -16.5726 0
ZINC02163509 1.64437 0
ZINC08435277 -23.5798 0
ZINC02068760 -22.0391 0
ZINC02069070 -23.7205 0
ZINC02063825 -27.255 0
ZINC02171084 -31.5279 0
ZINC00703038 -23.5255 0
ZINC02063579 -6.33632 0
ZINC00843796 -18.7025 0
ZINC08439230 -20.8853 0
ZINC02062041 -33.1973 0
ZINC08439474 -23.7129 0
ZINC08435166 -18.9031 0
ZINC08434848 -29.0283 0
ZINC01797481 -27.5464 0
ZINC08438514 -22.0306 0
ZINC01883685 -30.0278 0
ZINC01011073 -27.324 0
ZINC00702413 -21.1557 0
ZINC00857147 -14.6793 0
ZINC02741172 -22.5485 0
ZINC08437430 -17.3518 0
ZINC02068744 -21.8507 0
ZINC00623995 -7.62713 0
ZINC00711910 -32.7466 0
ZINC00881501 -26.8314 0
ZINC00646767 -35.266 0
ZINC00850105 25.1639 0
ZINC06444397 -30.4996 0
ZINC08437824 -17.9996 0
ZINC01895153 -19.4239 0
