nnscore rfscore_v1 rfscore_v3 rfscore_v2 PLEClinear_p5_l1_s65536 PLECnn_p5_l1_s65536 PLECrf_p5_l1_s65536 vina_affinity Label Name
5.745829797543682 7.471109887390385 6.90066578776779 7.234225765512258 5.278291915213733 6.3252925838789045 6.266799999999998 -8.37973825192052 1 mini_complex_2AZ5_PROTOSS_native_lig.pdb
7.150232242457437 7.502473659951156 6.972251353812853 7.234002519647024 4.673319789910715 5.397557994556945 6.466100000000003 -9.213406782162027 0 mini_complex_ZINC00622817_lig.pdb
7.128854207423778 7.376869305194797 6.92899988350538 7.337476754245764 5.243030363737883 6.515622173517672 6.271299999999999 -7.664813255249073 0 mini_complex_ZINC00624720_lig.pdb
7.781314667853911 6.828111626096133 6.414898992451995 6.327675139249635 4.009877659378709 6.672146837574882 6.3778999999999995 -7.818423680604067 0 mini_complex_ZINC08435029_lig.pdb
7.038404288711196 7.223236656121655 7.000934217893221 7.248091644385025 3.8745972172955674 5.997372235852976 7.3225000000000025 -5.863324618130213 0 mini_complex_ZINC00624698_lig.pdb
6.231853440656173 6.8056183672438655 6.397920084249084 6.684006481795974 4.822611426382877 5.655235701077165 6.823999999999999 -8.638886234238218 0 mini_complex_ZINC08437878_lig.pdb
5.85641546908215 6.414864011322015 5.959855604617611 6.291529267177269 5.3808154978887455 8.144684100573922 7.134100000000002 -6.668884217695491 0 mini_complex_ZINC00627054_lig.pdb
7.173474759556406 6.2620580273060265 5.882342709734713 6.00133711072261 3.0116329520883682 4.354120504755381 6.4138 -6.427842312277375 0 mini_complex_ZINC02171063_lig.pdb
6.470952577223393 6.374898908036403 6.2469027416472445 6.304025727272721 2.876732193209922 4.781082038741485 6.115899999999999 -7.834235205573251 0 mini_complex_ZINC08437418_lig.pdb
6.605476245458479 7.199065677045181 6.948439624153623 6.899877660894654 4.200669436852107 7.113499837275941 6.364900000000002 -9.001130772749498 0 mini_complex_ZINC00678489_lig.pdb
6.716809504863109 6.718399093073598 6.15699405305805 6.4877310185925205 5.607430626405885 6.320001371231969 6.0218 -8.907886692932482 0 mini_complex_ZINC08437554_lig.pdb
8.491380936136096 7.248052523809515 6.80218857037407 7.051602949883457 5.648215076080644 5.28314919928554 6.949699999999999 -8.935411521572592 0 mini_complex_ZINC00723971_lig.pdb
5.62800411160139 6.1413909832259215 5.803013621212125 6.044166010822506 1.9810121673510894 5.011842760485234 5.971900000000002 -7.160502821801367 0 mini_complex_ZINC01804627_lig.pdb
6.138335507197441 6.515712186147176 5.984851917027421 6.215637188478188 5.115483566572693 5.526021514519104 6.096200000000002 -6.381673094538091 0 mini_complex_ZINC00702307_lig.pdb
7.121813255017758 6.5035984718614674 6.4759508803973835 6.48460334054834 4.287557562876415 6.832673194635736 6.563599999999999 -7.860152783948627 0 mini_complex_ZINC00971822_lig.pdb
6.591173789040097 5.6117548174603105 5.384274251082244 5.696841258685761 1.8009127909908698 4.225373318789456 5.534299999999999 -6.088142383283554 0 mini_complex_ZINC08434910_lig.pdb
5.979152611179331 5.793043882561886 5.410012548562548 5.796781042568547 5.007954078804975 6.345649850246974 6.872999999999999 -6.419796934268965 0 mini_complex_ZINC06444923_lig.pdb
7.185909191295309 7.324499607004107 6.960704280608283 7.119956292207796 5.219003991599635 6.147950375143046 6.072900000000001 -7.512262983468523 0 mini_complex_ZINC08435658_lig.pdb
