Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,Label
ZINC00702490,-29.8017,6.67156,11.9196,-11.1791,0,0,-26.1585,838.34,0,0.659445,7,0.41989,0.609582,0.390418,3969,994,1222,51,0,0,0,0,1118,286,356,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,14.0,20.0,0.0,14.0,9.0,-36460.4384364,1.0,23.0,0.0,0.0,0.0,0.0,-2.6,60.29,0.19,93.43,667.83,0
ZINC02061238,-24.5057,6.23677,9.38206,-3.84562,0,-0.796403,-17.2943,658.899,1,0.65517,6,0.42515,0.548757,0.451243,2480,576,670,55,335,75,89,8,132,33,42,4,0,0,0,0,0,0,0,0,150,35,43,4,370,84,99,8,172,34,47,3,0,0,0,0,66.0,3.0,0.0,1.0,2.0,8.0,-30589.9802272,2.0,24.0,2.0,0.0,0.0,0.0,-1.4,44.22,0.07,38.92,412.52,0
ZINC02184584,-23.7063,4.07867,2.93416,0.312633,0,0,-18.7334,765.355,0,0.657696,10,0.377902,0.503048,0.496952,4900,1195,1517,99,324,83,103,6,0,0,0,0,0,0,0,0,0,0,0,0,290,79,99,5,0,0,0,0,0,0,0,0,0,0,0,0,29.0,4.0,8.0,6.0,3.0,5.0,7563.04682471,0.0,19.0,0.0,0.0,0.0,0.0,3.7,57.85,0.17,16.13,634.11,0
ZINC00660936,-28.8294,63.6339,14.4941,-1.839,0,0,17.4086,900.456,0,0.643229,9,0.350697,0.525422,0.474578,3918,976,1166,56,654,170,190,11,313,81,95,4,0,0,0,0,0,0,0,0,140,40,40,0,94,27,32,0,0,0,0,0,0,0,0,0,40.0,3.0,21.0,6.0,5.0,12.0,-79841.4463237,0.0,21.0,0.0,0.0,0.0,0.0,1.7,59.39,0.12,78.13,586.64,0
ZINC00663241,-23.686,4.50414,9.24042,-4.78429,0,0,-17.6582,679.145,0,0.654668,9,0.40525,0.520052,0.479948,2753,650,827,56,353,83,99,7,375,87,103,10,0,0,0,0,0,0,0,0,0,0,0,0,345,80,100,8,128,35,49,1,0,0,0,0,18.0,5.0,10.0,10.0,7.0,9.0,8257.13513051,0.0,19.0,0.0,0.0,0.0,0.0,.4,47.10,0.06,55.13,447.51,0
ZINC08434824,-32.0997,9.37969,15.1964,-2.7028,0,0,-16.9888,904.327,0,0.669847,6,0.409336,0.557354,0.442646,3878,876,1092,78,1209,279,345,31,195,43,50,6,0,0,0,0,0,0,0,0,0,0,0,0,151,37,48,1,0,0,0,0,0,0,0,0,72.0,4.0,5.0,11.0,12.0,16.0,-31205.7737518,2.0,36.0,2.0,0.0,0.0,0.0,-.9,52.23,0.25,89.07,636.65,0
ZINC08433435,-21.5906,3.42659,11.7778,-2.25249,0,-1.55018,-12.1837,656.904,1,0.680529,7,0.397533,0.529506,0.470494,2911,691,871,59,314,76,100,8,474,106,139,11,455,113,145,3,0,0,0,0,161,34,44,4,153,37,50,2,0,0,0,0,0,0,0,0,18.0,3.0,6.0,17.0,7.0,7.0,-24446.3280202,1.0,18.0,0.0,0.0,0.0,0.0,1.8,60.08,0.28,57.69,493.60,0
ZINC00857096,-27.8755,3.64362,14.6931,-1.73363,0,0,-13.8071,705.727,0,0.655328,11,0.465914,0.549027,0.450973,3307,768,956,65,347,79,101,8,535,125,151,13,0,0,0,0,0,0,0,0,0,0,0,0,576,134,191,7,0,0,0,0,0,0,0,0,34.0,9.0,6.0,6.0,11.0,8.0,-761.93591475,0.0,11.0,0.0,0.0,0.0,0.0,-.9,58.33,0.10,62.55,546.12,0
ZINC08438734,-24.1466,4.01547,7.34713,-2.28873,0,0,-17.7701,702.655,0,0.680399,5,0.42465,0.600905,0.399095,3157,724,894,76,318,78,98,9,510,110,151,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,8.0,0.0,5.0,12.0,2.0,69105.6942888,0.0,30.0,0.0,0.0,0.0,0.0,-2.8,29.95,0.53,70.50,525.20,0
ZINC08438783,-20.0519,4.1035,10.5077,-2.41632,0,0,-10.3447,732.799,0,0.684778,8,0.448795,0.539582,0.460418,4146,1042,1248,73,114,33,42,1,350,83,95,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,2.0,7.0,5.0,3.0,7.0,-57016.296369,0.0,12.0,0.0,0.0,0.0,0.0,-1.3,9.00,0.96,40.54,724.08,0
ZINC01700294,-20.7313,3.83245,7.32538,-2.21983,0,0,-13.8645,563.339,0,0.653979,7,0.421833,0.529599,0.470401,3157,742,949,74,382,89,105,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,5.0,0.0,2.0,5.0,1.0,45998.5394715,0.0,11.0,0.0,0.0,0.0,0.0,-3.7,22.72,0.32,27.03,452.93,0
ZINC05918459,-24.9132,4.26931,8.25885,-5.07989,0,-0.930563,-20.8012,761.32,2,0.654849,9,0.417092,0.535084,0.464916,4423,1025,1273,107,452,109,126,11,340,70,88,8,127,29,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.0,0.0,0.0,5.0,1.0,3.0,-56655.8386826,2.0,39.0,1.0,0.0,0.0,0.0,1.9,52.08,0.21,71.42,600.21,0
ZINC00702247,-32.9653,16.135,15.3449,-6.82492,-1.26404,0,-18.9542,956.534,1,0.665345,6,0.42014,0.500196,0.499804,5232,1294,1589,105,303,77,90,2,1160,274,347,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0,5.0,15.0,23.0,11.0,21.0,-113577.486636,1.0,38.0,1.0,0.0,0.0,0.0,.9,78.40,0.21,107.42,817.35,0
ZINC00793873,-22.6526,33.5831,14.0995,-5.08838,0,0,3.32356,822.311,0,0.653355,4,0.434818,0.534653,0.465347,3415,854,1068,52,679,171,214,12,632,149,173,9,0,0,0,0,0,0,0,0,139,39,48,2,0,0,0,0,0,0,0,0,0,0,0,0,54.0,0.0,29.0,8.0,0.0,4.0,-100117.190828,2.0,29.0,1.0,0.0,0.0,0.0,-3.2,64.13,0.12,114.86,637.79,0
ZINC02064354,-32.5097,6.88624,20.0696,-8.79792,-1.9569,0,-20.5715,820.498,2,0.650666,7,0.413745,0.539499,0.460501,3283,786,1010,52,1137,263,333,24,418,117,139,4,0,0,0,0,0,0,0,0,365,83,100,8,0,0,0,0,0,0,0,0,0,0,0,0,28.0,4.0,19.0,15.0,11.0,27.0,-347460.90231,4.0,17.0,0.0,0.0,0.0,0.0,2.1,58.73,0.19,129.16,597.54,0
ZINC01801792,-28.5865,5.29662,9.37605,-3.98598,0,0,-20.9075,768.398,0,0.668265,9,0.409295,0.531342,0.468658,4274,1055,1314,72,459,112,143,9,429,116,141,5,0,0,0,0,0,0,0,0,293,69,93,7,0,0,0,0,0,0,0,0,0,0,0,0,31.0,7.0,17.0,11.0,9.0,4.0,-174854.665288,2.0,18.0,0.0,0.0,0.0,0.0,.9,60.02,0.07,63.49,573.42,0
ZINC08438077,-29.8968,5.60567,6.97016,0.724252,0,-1.24746,-21.2513,771.735,1,0.643902,9,0.435849,0.565109,0.434891,4175,971,1194,90,447,100,134,9,625,147,186,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,8.0,4.0,2.0,12.0,8.0,133114.686821,2.0,34.0,1.0,0.0,0.0,0.0,-.9,55.90,0.15,83.19,585.41,0
ZINC06194338,-28.9187,19.6374,12.4295,-9.58179,0,-0.674749,-18.3875,664.021,1,0.663914,4,0.431704,0.538035,0.461965,2388,577,685,55,519,114,144,12,511,111,145,10,0,0,0,0,0,0,0,0,169,40,49,4,0,0,0,0,0,0,0,0,179,39,45,3,53.0,10.0,3.0,6.0,19.0,20.0,-149179.947676,3.0,35.0,1.0,0.0,0.0,0.0,-1.2,46.52,0.07,86.95,442.65,0
ZINC06996433,-20.8752,9.57474,7.96228,-1.72573,0,0,-10.7294,513.814,0,0.669411,5,0.444903,0.581422,0.418578,1681,391,455,37,313,70,90,8,482,116,133,12,0,0,0,0,0,0,0,0,166,38,46,4,0,0,0,0,0,0,0,0,0,0,0,0,63.0,4.0,0.0,0.0,5.0,8.0,-31915.2606458,1.0,27.0,1.0,0.0,0.0,0.0,-3.6,27.68,0.40,63.50,345.48,0
ZINC08434877,-21.3154,3.44429,9.01651,-3.00271,0,0,-14.8627,779.613,0,0.653843,7,0.429956,0.579424,0.420576,2726,653,810,57,981,244,312,25,345,75,101,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,42,45,3,0,0,0,0,41.0,0.0,3.0,1.0,0.0,2.0,-124455.733388,0.0,24.0,1.0,0.0,0.0,0.0,-4.8,37.97,0.50,73.39,565.59,0
ZINC01018842,-32.5226,6.64306,4.66282,-2.08376,0,0,-27.2679,794.9,0,0.666324,6,0.402693,0.57755,0.42245,3818,880,1092,86,625,143,183,15,296,67,96,8,0,0,0,0,0,0,0,0,395,87,103,10,0,0,0,0,0,0,0,0,0,0,0,0,64.0,8.0,2.0,3.0,13.0,11.0,-64578.2850279,0.0,43.0,1.0,0.0,0.0,0.0,1.3,50.35,0.17,65.54,585.74,0
