nnscore rfscore_v1 rfscore_v3 rfscore_v2 PLEClinear_p5_l1_s65536 PLECnn_p5_l1_s65536 PLECrf_p5_l1_s65536 vina_affinity Label Name
4.500418011200423 4.867411769841273 5.086342211399714 4.920444861305355 3.453919157742428 4.973629292972817 5.711800000000002 -5.734480803834571 1 mini_complex_3VKX_PROTOSS_native_lig.pdb
5.5783594521307815 6.685642080641587 6.097781708141534 6.371171687590187 4.729539405070848 5.8295264831444955 7.114500000000001 -5.598343858245061 0 mini_complex_ZINC00625689_lig.pdb
7.342872143661185 7.267619765789766 6.872164889499393 7.341782271284269 5.174595107994321 6.4655448384109215 6.769 -7.469874369129914 0 mini_complex_ZINC08439592_lig.pdb
6.674447503626453 7.032980252247752 7.07799682756133 7.12401472216672 4.534454532065 4.621274331992027 6.070000000000001 -6.243876250229516 0 mini_complex_ZINC01802668_lig.pdb
6.649268490640843 7.207404553557554 6.840506139915632 6.822871900987897 5.013598748545402 6.291797847498843 6.015699999999998 -7.43632286571256 0 mini_complex_ZINC08436943_lig.pdb
5.910574361524253 6.262319333166831 5.520479431734935 5.892985257242754 4.428834678788668 6.231646464309138 5.779200000000002 -4.786444576513645 0 mini_complex_ZINC08439772_lig.pdb
5.954378826919326 5.967906410422909 5.582725598124096 5.73175443700743 4.330756459756924 4.964219947558262 6.834499999999999 -5.39601913220373 0 mini_complex_ZINC00643493_lig.pdb
7.400573158995302 7.682798360417361 7.043157554778557 7.071245223443223 6.372377148666295 5.866935191611218 6.804599999999998 -7.278298146274086 0 mini_complex_ZINC08434960_lig.pdb
6.020541081933018 5.604977210844712 5.66154888222888 5.463680245421245 3.945158401792253 5.628576323547437 6.113899999999998 -4.645279554905917 0 mini_complex_ZINC08437902_lig.pdb
5.763360538127314 4.062246634199129 4.035983530580528 4.329745183816184 2.4139875830601816 4.286469705123646 4.814999999999999 -5.974220827491782 0 mini_complex_ZINC00088170_lig.pdb
3.9503395623243223 5.070319807747813 4.733914601010103 4.8216503158508175 1.6512565493060432 4.190505850400035 5.3805999999999985 -2.501648029882747 0 mini_complex_ZINC04669031_lig.pdb
5.780333144833966 5.74782997763348 5.415704838383841 5.646751861416361 5.32259114400901 6.332896885023348 6.5091 -4.806661901080838 0 mini_complex_ZINC08438579_lig.pdb
5.385441792135113 5.87648119097569 5.433408015318026 5.409016412920412 2.8395600148238436 4.491545049503351 5.2520000000000024 -5.742151326235182 0 mini_complex_ZINC02063637_lig.pdb
5.2925216492862805 5.534833795648801 5.607424399489401 5.600836704906197 3.0646846149293014 4.534143667499094 5.871400000000001 -4.785033349502961 0 mini_complex_ZINC08439819_lig.pdb
4.971297645234763 6.652958923187922 5.801224631773458 6.5783977043511985 2.6086744412026626 4.4583781834088905 5.056799999999999 -4.338203324041937 0 mini_complex_ZINC06195024_lig.pdb
6.22423971798853 6.235090293650792 6.191115578643581 6.474955941003441 4.1749636804794665 6.084256039926234 6.292800000000001 -5.603923508634495 0 mini_complex_ZINC00817538_lig.pdb
6.644832311437928 6.349079896658901 5.872746664113655 5.488125316738815 5.636246052168009 5.896318778612836 5.268800000000002 -5.759992520475425 0 mini_complex_ZINC01739800_lig.pdb
6.746001291341363 7.629787307943687 6.471388932972255 7.071275064213566 6.030533880137684 7.796569778674665 5.4795000000000025 -6.010498721007024 0 mini_complex_ZINC08435004_lig.pdb
6.063615837668939 6.01317485686536 5.714185426018431 6.039794610389613 3.8176840377638164 5.7098247225111285 5.470200000000001 -7.427847020369918 0 mini_complex_ZINC06475513_lig.pdb
5.183458291235231 4.920138103896106 4.924472775613271 5.090536241702737 4.075278596158667 5.619153820407166 5.788 -5.032100704062702 0 mini_complex_ZINC00210133_lig.pdb
5.818996068204576 5.60745031529582 5.245855980010186 5.606245251026754 4.661400151120249 5.019779256132618 5.561700000000002 -6.311408423966973 0 mini_complex_ZINC00728004_lig.pdb
6.731850230806357 6.8509538300588275 7.002559666888666 6.803114672471316 6.552168325716362 6.1342580787082 5.594500000000002 -8.390982679876478 0 mini_complex_ZINC08434906_lig.pdb
6.358508582070397 7.193311847041849 6.8048398288933285 7.0011667987012975 4.8427661806448565 5.628055460585444 6.2312 -6.12346947405653 0 mini_complex_ZINC08438185_lig.pdb
5.6829354397730425 4.4589147409812355 4.65462780808081 4.359974029193029 2.6361085909630853 4.749684133563638 5.0470000000000015 -4.698238489117003 0 mini_complex_ZINC01891300_lig.pdb
6.459039725135353 6.5300847336976755 6.4090542027972015 6.5254812457542535 4.034985258141319 6.1436779379746875 6.1640999999999995 -7.634997240937976 0 mini_complex_ZINC02164252_lig.pdb
6.844791220033566 6.292136358918854 5.867684929181931 6.288735442834939 3.417013508157771 5.6027722674428055 5.869899999999998 -6.670375861401107 0 mini_complex_ZINC00723844_lig.pdb
6.342208872178645 7.035366310134312 6.722832450493953 6.74699145099345 5.387044435541321 5.249056097206558 6.318 -6.843698336846332 0 mini_complex_ZINC02062436_lig.pdb
