nnscore rfscore_v1 rfscore_v3 rfscore_v2 PLEClinear_p5_l1_s65536 PLECnn_p5_l1_s65536 PLECrf_p5_l1_s65536 vina_affinity Label Name
5.113719814216255 6.168941950937942 6.15774283111333 6.0073129513819525 2.778183556116374 5.002340732144976 5.674800000000002 -6.435823372693711 1 mini_complex_3IN7_PROTOSS_native_lig.pdb
5.274280963783365 6.078769748806745 5.860122446608946 6.3211569164724155 3.534702219380809 4.470942443857758 5.931500000000003 -6.0402528523375505 0 mini_complex_ZINC08434963_lig.pdb
5.569165272095076 5.880577018426016 6.2334294714729666 6.042015939837945 6.265944904764936 6.969482672363723 5.488500000000001 -7.620155464666442 0 mini_complex_ZINC00702738_lig.pdb
5.665900347144096 5.634720347430352 5.200845614052613 5.480769710900211 4.080990902494028 5.711927131007093 5.612199999999999 -5.311897620107023 0 mini_complex_ZINC02694664_lig.pdb
4.874980276008534 5.574578968642472 5.28824146786547 5.567450900654899 4.494281610311618 5.251709944664923 5.219199999999997 -4.763164578631796 0 mini_complex_ZINC00702709_lig.pdb
5.341067506779455 5.6295722554112535 5.337277414196917 5.65553147041847 4.153621409859205 4.457512435427644 5.816599999999999 -4.038856697607844 0 mini_complex_ZINC02067478_lig.pdb
6.010899667120823 7.377830617771121 7.184745985791997 7.291808660117657 3.8306080488912135 5.504891223970442 6.5091 -5.332198066941374 0 mini_complex_ZINC01855159_lig.pdb
6.76285833758506 5.34965277922078 5.570606739427241 5.379405957153958 3.9141857056904352 5.385350991511356 4.968700000000002 -5.092429360926569 0 mini_complex_ZINC08435054_lig.pdb
5.285654520360066 5.373235480907981 5.323213267898768 5.535739568043066 4.9849804353745695 6.180217614712464 5.942700000000001 -4.524225306178292 0 mini_complex_ZINC00629977_lig.pdb
6.781133868648908 7.375312120934622 7.3296969114023245 6.783367995948487 4.101332715910214 4.82093048736042 5.9879999999999995 -6.599020854454851 0 mini_complex_ZINC08438068_lig.pdb
4.790618428650468 7.215547117549126 6.808557647610566 6.755962077145083 4.755875323256443 5.762998359158428 5.664200000000001 -5.626552220432363 0 mini_complex_ZINC01017574_lig.pdb
6.753294605007549 5.802389356310356 5.763792285825291 6.011213480019978 3.804630145761719 6.3171684667808075 5.984 -5.562466359120334 0 mini_complex_ZINC08438941_lig.pdb
6.401532734968495 5.96470968975469 5.967827192030193 6.068556489343991 3.8136154430954496 4.952812616248847 5.647400000000001 -7.998265467321678 0 mini_complex_ZINC08437390_lig.pdb
5.592751831915575 6.39491145315795 6.450428539904542 6.241482317460316 3.269244392741865 6.277002753119543 6.201900000000002 -6.039560520619806 0 mini_complex_ZINC00702327_lig.pdb
5.557530105576476 5.977912089466084 5.760507633533135 5.670311735986232 5.5517884597966 6.518259540802059 5.8315 -5.292913348981016 0 mini_complex_ZINC00880918_lig.pdb
