nnscore rfscore_v1 rfscore_v3 rfscore_v2 PLEClinear_p5_l1_s65536 PLECnn_p5_l1_s65536 PLECrf_p5_l1_s65536 vina_affinity Label Name
7.211096160593067 6.822574348706838 6.895759587523596 6.599161896492396 7.453807765819232 6.9059532393643925 7.4026 -9.976779099263162 1 mini_complex_4E1N_PROTOSS_native_lig.pdb
6.873384423066812 7.58978486544175 7.184086064380064 6.977272169996668 5.892322721774661 5.4540128286807334 6.5517 -7.097045470440713 0 mini_complex_ZINC08440029_lig.pdb
6.540687748453804 6.881765895881894 6.375406167874599 6.6936403335553365 4.304307193981252 5.267931219861859 6.384600000000002 -7.308459479930917 0 mini_complex_ZINC08439889_lig.pdb
5.931912583728129 5.427814523643025 5.195626640914638 5.29278356804307 4.5735740597053685 5.01309124981018 6.725599999999998 -6.443512827362145 0 mini_complex_ZINC06147567_lig.pdb
7.998382528808304 7.2167955563880595 7.097720202242206 7.1475844911754995 5.3308395793936825 5.900119022163926 6.443500000000001 -8.944322596882289 0 mini_complex_ZINC00624606_lig.pdb
7.2946966701862666 7.447275671439675 7.204065520673771 7.146344359751357 5.1843578924588885 5.469945912590378 6.708300000000003 -5.019501732750699 0 mini_complex_ZINC00633899_lig.pdb
6.283995594171475 6.892712591242086 6.853054514041514 7.008482240259739 4.241118767714557 6.804587916753429 6.484200000000004 -9.628542124665811 0 mini_complex_ZINC02070018_lig.pdb
7.320445396373219 6.711562421522923 6.516749089632588 6.355802105783103 4.975136498152574 5.19215758747594 6.0889999999999995 -6.721224280735259 0 mini_complex_ZINC08438225_lig.pdb
7.049638388461675 6.917537658730161 6.426533899156398 7.006399971528476 4.26785817723625 5.721233059921582 6.8107999999999995 -7.270623157041788 0 mini_complex_ZINC02237028_lig.pdb
7.289005225536525 6.958732065503121 6.552041475524477 6.963105225496723 4.053889259919345 4.558033453894565 6.6426000000000025 -9.288506845676041 0 mini_complex_ZINC05949888_lig.pdb
5.808355950240865 7.375553537906534 6.935543819264072 6.995767218337222 3.997068281333728 4.881818503852254 5.9075999999999995 -7.055706586025563 0 mini_complex_ZINC08437964_lig.pdb
6.40931420277133 6.393364628871123 6.180767202173648 6.350840896436897 5.441831177668979 5.617625329176471 6.457299999999999 -7.867396286920411 0 mini_complex_ZINC08437373_lig.pdb
7.033102822703026 7.0156797328227345 6.377365438949939 6.867789565323568 3.734706289800077 4.858955047380806 6.327599999999999 -7.877456585535411 0 mini_complex_ZINC01013300_lig.pdb
6.453617049461654 6.8655032042402 6.6172578837828775 6.848323778499281 6.060309383856546 5.707821671789145 6.094200000000002 -6.361170257571292 0 mini_complex_ZINC02070240_lig.pdb
6.429371251203948 6.7195950795315715 6.611285812187815 6.500274837273834 3.5679735531502392 4.170942702254319 5.771400000000001 -6.709706421841108 0 mini_complex_ZINC08434834_lig.pdb
7.018227112195878 7.820235108891107 7.504047709235207 7.574530727383728 5.093979986957661 4.870631721192491 5.475300000000001 -6.611585505895079 0 mini_complex_ZINC02171879_lig.pdb
