nnscore rfscore_v1 rfscore_v3 rfscore_v2 PLEClinear_p5_l1_s65536 PLECnn_p5_l1_s65536 PLECrf_p5_l1_s65536 vina_affinity Label Name
7.483107378973837 7.449052105672109 7.070385922077922 6.916933894216891 8.552224009577467 8.265923978430703 6.826600000000002 -8.728415123274136 1 mini_complex_4ERF_PROTOSS_native_lig.pdb
6.760871667886431 7.790177465256958 7.438562940642695 7.406956117826616 5.92270984318973 5.499713665104389 7.101399999999999 -6.756415453647391 0 mini_complex_ZINC08438410_lig.pdb
6.856901753627571 7.263584761016757 6.664373471805967 6.896517995726497 3.971854747796263 5.232734153320535 7.077699999999998 -8.242853788278774 0 mini_complex_ZINC00627441_lig.pdb
6.683161709070392 6.891070141802641 6.642084958097463 6.654838357309361 5.867528524001483 5.844188447056635 5.973600000000001 -6.748548174252173 0 mini_complex_ZINC08438588_lig.pdb
6.3943637416626125 6.409080751304252 5.918680233155738 6.380559427849926 4.676932196348033 5.361266862460347 6.793599999999999 -7.619864088777308 0 mini_complex_ZINC08439008_lig.pdb
5.279874816393111 6.316864664502166 5.869659107206524 5.678438919136421 2.555279707156168 3.8627092371317016 6.434500000000001 -5.924534982699465 0 mini_complex_ZINC00147704_lig.pdb
7.0835761880761625 7.329103514818521 6.781805061771562 7.317542959651457 5.686606947786355 5.788394024106689 6.315200000000001 -8.594537301944301 0 mini_complex_ZINC08438090_lig.pdb
6.0950116542091575 6.9654907943722995 6.363120854256852 6.799094870407369 3.72553956489048 5.423558389626146 5.759600000000001 -7.180368741151703 0 mini_complex_ZINC08435628_lig.pdb
7.613185667336717 7.686061978299483 7.003293485569987 7.189278532467528 5.832491783727445 6.316917951140487 6.456400000000002 -7.523554213280714 0 mini_complex_ZINC08435004_lig.pdb
6.355847504165687 6.239496197580205 6.178671554445559 6.31556555194805 3.0840610682285585 4.912971719959715 6.290699999999999 -5.721037531201409 0 mini_complex_ZINC00625336_lig.pdb
7.263205836704126 6.497741771006766 6.740683166666665 6.827704630813634 6.0398444240644125 6.727499318820285 6.132599999999999 -6.446842026161853 0 mini_complex_ZINC08434810_lig.pdb
7.128852593646194 6.73274742834943 6.410842270063265 6.6341841520146545 6.7096094686897905 5.232012534025651 6.410800000000004 -8.159723731463925 0 mini_complex_ZINC00144910_lig.pdb
5.1148047186127545 5.547025996392499 5.415533756854258 5.296387856532355 3.3029003984956122 5.080128924263992 6.040299999999999 -5.306605045502812 0 mini_complex_ZINC00149203_lig.pdb
6.653447472217719 6.472751912518853 6.341338235098232 5.907485453046957 3.9941418102819335 5.544762350922489 6.429600000000001 -6.747882486399105 0 mini_complex_ZINC08433148_lig.pdb
5.29090387732158 6.227029069708074 6.007555612887114 6.351751220224217 2.2412289992231273 4.359628623407491 6.415400000000006 -7.372409110678436 0 mini_complex_ZINC00856284_lig.pdb
7.395777405940143 6.554796646187145 7.001139798923298 7.183157115273621 7.87732653893837 6.038867141554841 6.628900000000001 -9.94479871454545 0 mini_complex_ZINC08434835_lig.pdb
6.921889163347949 6.79902916744367 6.502534354867355 6.621769348429351 4.440358857053201 5.337281371542255 6.268399999999998 -6.613026051176435 0 mini_complex_ZINC02233796_lig.pdb
6.210587157050297 7.003318378510373 6.937996004523259 6.772513832056828 4.589895986756788 6.686814852470422 6.2237 -6.892754976014538 0 mini_complex_ZINC06878590_lig.pdb
6.522362835510016 6.417763722943725 6.190092650738152 6.857100498556995 5.529562512765145 5.86868253379845 6.5817 -7.605457901234498 0 mini_complex_ZINC01865711_lig.pdb
5.958857817092278 7.312360077922072 6.763125386185703 6.953399537518034 2.1879436598810265 4.290082099843305 5.8922000000000025 -5.446033501481672 0 mini_complex_ZINC08437912_lig.pdb
7.4167357955128725 7.04495934232434 6.532667865650685 6.87339872422022 3.0034239008139467 4.908486559973343 6.421300000000002 -6.115955206349361 0 mini_complex_ZINC00832557_lig.pdb
7.885225973845115 7.527652582584083 6.855054611832606 7.063627095626592 5.654284700287933 6.079480923888821 6.302500000000001 -8.288405014844987 0 mini_complex_ZINC00624606_lig.pdb
7.730744838510428 7.654682454267956 7.1795977332112315 7.179563606060603 4.7928291025112975 4.422669894867838 6.504000000000001 -6.471207501690214 0 mini_complex_ZINC00675736_lig.pdb
5.395401697264672 7.021106502331001 6.64881651714952 7.032062867021858 4.939737223888779 5.789375420199543 6.6749000000000045 -7.726994594822784 0 mini_complex_ZINC00907469_lig.pdb
6.427204206779619 6.06498344011544 5.768817641747143 6.341905597680092 4.936746432701501 5.490121408360132 6.345400000000001 -6.025837525013275 0 mini_complex_ZINC08439772_lig.pdb
6.3273659759171785 6.800170064158064 6.30690997591298 6.315218498001998 4.1250443493225255 5.737032213023416 5.952099999999998 -7.285027214784922 0 mini_complex_ZINC02070018_lig.pdb
7.382391715648946 7.8408790052725035 6.856560579365084 7.249612509379517 5.309397691749031 6.160321193035641 6.770100000000003 -7.3237316495472955 0 mini_complex_ZINC02063808_lig.pdb
6.901352522152102 7.3862607987013 6.886027568931064 6.993070794372298 4.375134093944661 5.3670739885383645 6.261399999999998 -8.532160642090462 0 mini_complex_ZINC00660936_lig.pdb
6.748848537993726 7.2455750679320605 6.626772101398602 6.835260785103778 4.931062848047455 5.878675793566496 6.7484999999999955 -9.733659979286319 0 mini_complex_ZINC02503430_lig.pdb
7.246142057930905 7.536499891608386 7.0126506121378664 7.2215028499278535 5.089212062597853 5.322780959685471 6.547200000000001 -7.274661815562671 0 mini_complex_ZINC00630196_lig.pdb
6.0179930769853325 6.36608065523365 5.792175141567584 6.127291516150513 4.048478496019534 4.4414178573380285 6.280300000000002 -5.858493699221484 0 mini_complex_ZINC00659607_lig.pdb
4.902870359294839 5.359075244588744 5.207319769341772 5.174336984348984 2.7966383524991545 4.4678735822154945 4.953500000000001 -5.470244977333626 0 mini_complex_ZINC08438954_lig.pdb
6.597908642247523 6.584383774891778 6.257413770745592 6.8019016298701285 2.18597461828163 4.4354524986071056 5.397199999999998 -6.859016680147239 0 mini_complex_ZINC00627140_lig.pdb
7.948183064417781 8.005863342435337 7.913310017538022 7.893353690309697 8.185227354077679 7.853006909358813 6.359700000000001 -9.049704360143275 0 mini_complex_ZINC01759290_lig.pdb
7.486718542500936 6.85977858058608 6.376201281039224 6.621045942279935 4.882434510741652 5.34497958517112 5.729700000000003 -6.427516149175822 0 mini_complex_ZINC08438499_lig.pdb
6.817114006381885 7.703238148185158 6.96047833893884 7.197499678543677 6.467521656319931 6.41855594311571 6.739299999999999 -9.269528100849225 0 mini_complex_ZINC08434818_lig.pdb
7.5614759188157965 7.660185864135856 7.136963643578639 7.136747339826838 6.292298933657167 6.858138007242769 6.443200000000001 -9.144563949005997 0 mini_complex_ZINC01013249_lig.pdb
5.694682003436567 5.493376798645794 5.340617552447558 5.7795446103341135 5.388587250836202 6.3615862351657695 6.627800000000001 -6.794449122425012 0 mini_complex_ZINC02170396_lig.pdb
7.143778750183712 7.490696749250749 6.894806935064935 7.237849853701855 6.480468202303669 5.493681727192674 6.132200000000001 -8.735186805809935 0 mini_complex_ZINC02617389_lig.pdb
6.079036226418344 5.798934894494397 5.658895316738816 5.735496290431793 4.546781318615003 6.276325125514308 6.208800000000001 -6.890257852328707 0 mini_complex_ZINC08433146_lig.pdb
6.618855731843451 7.26809577716727 7.139882595432348 7.345755858696856 6.012183726180089 5.095583169072786 6.727400000000002 -7.308206422480314 0 mini_complex_ZINC01805305_lig.pdb
6.684835081571815 7.132903662337667 6.663598071151075 7.021150697025194 6.813309512515694 6.780229901642292 5.8606 -7.249421480788241 0 mini_complex_ZINC05918543_lig.pdb
6.493791451581535 7.759520827228335 6.957895730824735 7.044786086968583 4.558629123570119 5.697850406309795 6.068 -7.95000611676056 0 mini_complex_ZINC08439463_lig.pdb
