Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,Label
ZINC02156213,-25.0287,4.37259,3.2404,-1.55854,0,-1.70886,-22.5042,723.397,1,0.660367,5,0.48712,0.758029,0.241971,2395,538,640,43,326,76,91,5,494,108,132,9,0,0,0,0,0,0,0,0,68,15,16,1,64,18,16,0,75,14,19,1,238,47,54,5,12.0,0.0,46.0,8.0,0.0,4.0,-21251.1870677,2.0,26.0,0.0,0.0,0.0,0.0,-6.4,53.98,0.06,74.50,515.52,0
ZINC08433435,-25.0349,6.1279,8.42571,-1.80908,0,-1.00808,-16.0134,712.25,1,0.657829,4,0.368518,0.77575,0.22425,2935,656,773,54,340,80,95,5,430,93,116,8,681,134,158,15,0,0,0,0,141,30,39,3,123,26,33,2,0,0,0,0,0,0,0,0,7.0,0.0,35.0,6.0,0.0,8.0,1842.71770561,1.0,13.0,0.0,0.0,0.0,0.0,.3,60.08,0.28,57.69,498.19,0
ZINC02067805,-29.6418,6.64159,-1.43858,-3.24462,0,0,-31.4698,849.823,0,0.672442,9,0.430784,0.745565,0.254435,3718,837,997,56,450,109,122,6,481,110,128,5,0,0,0,0,0,0,0,0,130,34,41,2,0,0,0,0,0,0,0,0,0,0,0,0,17.0,0.0,59.0,0.0,0.0,5.0,62830.5416128,1.0,34.0,0.0,0.0,0.0,0.0,0,66.72,0.07,91.63,638.32,0
ZINC02062325,-37.1358,12.1201,-5.99283,-1.59556,0,0,-37.5684,836.283,0,0.678835,6,0.367884,0.766837,0.233163,4322,944,1122,77,137,32,41,2,144,33,38,2,0,0,0,0,0,0,0,0,260,47,59,6,0,0,0,0,0,0,0,0,0,0,0,0,23.0,0.0,41.0,6.0,0.0,2.0,-38218.7730407,0.0,34.0,0.0,0.0,0.0,0.0,.2,50.26,0.19,20.31,600.03,0
ZINC00643427,-35.0915,18.3182,-0.0417872,-0.0430406,0,0,-25.6746,918.383,0,0.673861,7,0.367252,0.779723,0.220277,4141,900,1055,84,341,81,92,7,527,117,130,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0.0,44.0,3.0,0.0,21.0,-69530.5171836,1.0,32.0,0.0,0.0,0.0,0.0,-1.6,53.98,0.07,67.43,615.94,0
ZINC00797549,-29.7768,4.86079,1.76833,-3.57383,0,0,-31.6073,787.441,0,0.67179,5,0.388219,0.79377,0.20623,3113,702,814,46,552,126,143,11,485,108,130,8,0,0,0,0,0,0,0,0,122,28,33,2,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0.0,60.0,4.0,0.0,11.0,-3128.91636614,0.0,26.0,0.0,0.0,0.0,0.0,-3.4,52.37,0.12,78.27,603.35,0
ZINC02068944,-32.5067,9.29714,-0.0238613,-2.9991,0,0,-30.6683,754.531,0,0.662566,4,0.369279,0.792107,0.207893,3632,806,953,63,400,89,108,7,162,36,43,3,0,0,0,0,0,0,0,0,0,0,0,0,355,74,94,6,0,0,0,0,0,0,0,0,23.0,0.0,44.0,2.0,0.0,4.0,-11128.2389949,0.0,36.0,0.0,0.0,0.0,0.0,-.9,48.89,0.09,54.02,526.19,0
ZINC08438262,-35.1932,7.54689,9.0246,-8.91707,-1.0411,0,-33.0274,845.916,1,0.693344,7,0.385409,0.740798,0.259202,3086,671,794,62,862,185,221,15,94,21,21,2,0,0,0,0,0,0,0,0,447,100,114,9,0,0,0,0,0,0,0,0,0,0,0,0,27.0,0.0,40.0,11.0,0.0,8.0,-13814.4309803,2.0,26.0,0.0,0.0,0.0,0.0,-3.6,55.17,0.16,98.48,560.30,0
ZINC08439112,-30.3153,7.28615,-2.03561,-3.23054,0,0,-31.4672,754.644,0,0.73434,4,0.397126,0.772607,0.227393,3630,807,955,66,157,37,46,3,554,125,149,9,0,0,0,0,0,0,0,0,247,59,70,4,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0.0,52.0,0.0,0.0,7.0,37731.4547709,1.0,28.0,0.0,0.0,0.0,0.0,-2.6,55.57,0.21,67.59,579.53,0
ZINC01017579,-33.5378,7.95538,-0.370162,-2.14213,0,0,-32.6556,858.452,0,0.710046,7,0.38148,0.760315,0.239685,3530,766,923,63,384,87,111,5,347,76,84,3,0,0,0,0,0,0,0,0,340,77,90,5,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0.0,54.0,4.0,0.0,7.0,-33150.2811938,0.0,33.0,0.0,0.0,0.0,0.0,-2.8,53.29,0.22,84.94,598.79,0
