nnscore rfscore_v1 rfscore_v3 rfscore_v2 PLEClinear_p5_l1_s65536 PLECnn_p5_l1_s65536 PLECrf_p5_l1_s65536 vina_affinity Label Name
6.92472744733566 7.3795945233100255 7.23757387301587 6.926938913419904 2.1252677365933326 4.374979260607979 6.340699999999997 -6.996153139576608 1 mini_complex_4GQ4_PROTOSS_native_lig.pdb
7.479854673575436 7.625036940392942 7.4715271078921095 7.243397264346766 5.393481853706476 4.4652104591663795 6.063000000000001 -9.305938759996852 0 mini_complex_ZINC03770288_lig.pdb
7.309423115118946 7.426678964424467 6.8085362907647875 6.8392156182706225 6.6516285529468755 5.979331259174419 5.660000000000004 -8.192861767049747 0 mini_complex_ZINC08435159_lig.pdb
5.577976160513154 6.538332997446994 5.951328418470424 5.855307377622372 3.70325916389433 5.336700463364673 5.905999999999997 -5.6794834567386285 0 mini_complex_ZINC00666409_lig.pdb
5.115014455181724 5.564579181818188 5.2738601161616225 5.374087618714619 2.931910491655508 4.706131535243007 4.680000000000001 -4.6323913473409695 0 mini_complex_ZINC01011746_lig.pdb
7.203112357021946 6.417907660894661 6.486243992951492 6.384475635475638 4.032840529212484 4.995894948695093 5.783099999999998 -6.2077780945235075 0 mini_complex_ZINC08434987_lig.pdb
5.999006879728627 7.925242642468641 7.467626202186708 7.32668804473304 3.6456978970424485 5.479926442581541 6.611999999999996 -6.922252541832227 0 mini_complex_ZINC00883750_lig.pdb
7.6136590379664355 8.120252615495618 7.737545849927857 7.557799112387609 5.171586382975886 5.592032567653859 6.174899999999999 -6.8867657812037475 0 mini_complex_ZINC08433094_lig.pdb
7.497034307765368 7.419100775224781 6.736276396658894 6.936528949494948 6.1803217334532645 7.057196689909273 6.454200000000003 -6.977206557311429 0 mini_complex_ZINC00907402_lig.pdb
5.871903409619449 6.8680468232323175 6.00302317316017 6.238977740592742 3.606611568377673 4.389237754809127 6.044099999999999 -5.505858781793596 0 mini_complex_ZINC08438932_lig.pdb
5.4140680051545225 6.158395500000001 5.618124032467531 5.6607349841269805 2.4722894668777835 4.726951340712245 6.060400000000003 -6.580077447762272 0 mini_complex_ZINC08437076_lig.pdb
6.95528716163456 7.890681199134204 7.056166360417358 7.097473171273171 4.0657409606681005 4.837993303670154 6.808699999999998 -7.047998428125306 0 mini_complex_ZINC02758246_lig.pdb
6.220079623364649 6.4332702109557065 5.980975642968146 6.613136592241098 3.0090076942632655 5.308318992648878 6.199400000000005 -6.071978716628312 0 mini_complex_ZINC00702490_lig.pdb
6.863091036002686 6.317568202741706 6.118841438283945 6.303561927849928 4.482202099809808 6.639750118052529 5.867099999999998 -6.387999396264983 0 mini_complex_ZINC02061238_lig.pdb
7.28663409800186 8.05402751337552 7.560863667748916 7.157806019758022 5.32873352463721 5.961876953874794 6.1403 -8.032739010105823 0 mini_complex_ZINC02184584_lig.pdb
6.914653863293142 7.702771235209234 7.2784279622044625 7.427702831945837 4.609116565283815 5.86230145178275 6.320600000000001 -6.469752409519258 0 mini_complex_ZINC00660936_lig.pdb
5.702878601324753 6.6461743580863555 6.234438591242102 6.279710123765121 3.918722180561952 5.029392574690049 6.154599999999999 -5.7970766635235895 0 mini_complex_ZINC00663241_lig.pdb
7.742558785633614 7.936885087024086 7.793350816017319 7.567095082029083 4.722824400055363 5.214084988088426 7.0873 -8.111000750473499 0 mini_complex_ZINC08434824_lig.pdb
6.5252786929166735 6.981643224719719 6.406231073593075 6.449045856587861 4.04506008465322 5.111298804320506 5.8255 -7.197068919118691 0 mini_complex_ZINC08433435_lig.pdb
7.582149811149947 7.527492889110882 6.877494404804345 6.966931302253297 3.939838618374213 5.709201672290063 5.757099999999999 -6.397727774580327 0 mini_complex_ZINC00857096_lig.pdb
6.562998703013994 6.910219120768115 6.138336116439117 6.179107569652573 6.507767693064444 6.896138537617715 5.544399999999999 -5.802783550368664 0 mini_complex_ZINC08438734_lig.pdb
6.053539642914236 7.526029849539354 6.490791065712067 6.465686408813405 3.746944835150329 5.1217630601752 7.328500000000002 -7.991804671191526 0 mini_complex_ZINC08438783_lig.pdb
5.733164754331122 6.653487133255634 6.171399178210689 6.263064288045292 4.526533528111059 5.532316614611084 5.6876999999999995 -4.756008634168794 0 mini_complex_ZINC01700294_lig.pdb
7.431680700839834 7.365042763625266 7.171526114718622 7.07042561949162 4.984255342602772 5.675712725841242 6.880700000000003 -8.072074116388992 0 mini_complex_ZINC05918459_lig.pdb
7.636986363521933 8.09395861433012 7.685992652680654 7.437442139249631 7.6133810426344475 6.8945655551733305 6.887100000000001 -7.058906640371214 0 mini_complex_ZINC00702247_lig.pdb
6.815414150050245 7.853694690365183 7.201025579531584 7.14373689682539 6.086967564086166 6.086033800813864 6.122500000000001 -6.1291975793128675 0 mini_complex_ZINC00793873_lig.pdb
7.101861017288222 7.403271972582971 7.505654444222439 7.166369033466526 3.624252339789756 6.035517927823263 6.476200000000001 -5.2999578414955995 0 mini_complex_ZINC02064354_lig.pdb
7.1353819119236785 7.629083199633694 7.30053685822511 7.227514128094125 4.7407772506020365 5.496253963188849 5.4243000000000015 -7.953110861721769 0 mini_complex_ZINC01801792_lig.pdb
7.105482740207783 7.9402293520923495 7.1898737588522605 7.2457703916083975 4.713538037686325 6.225824245206168 6.301700000000003 -9.626882038775035 0 mini_complex_ZINC08438077_lig.pdb
7.250824063287688 6.500235100177599 6.455615198412702 6.453856911976913 4.382728296215483 5.811004395967649 6.278299999999999 -5.747945459908695 0 mini_complex_ZINC06194338_lig.pdb
5.834674026066397 4.836349068154066 4.9543601464646425 5.854662150516149 5.617148889845955 6.223033330390268 5.8349 -3.631330939555973 0 mini_complex_ZINC06996433_lig.pdb
6.548318620622183 7.776990248029751 7.047057634048956 6.889229731768227 2.672753472545508 4.7616830667700825 6.165700000000002 -6.492465712777746 0 mini_complex_ZINC08434877_lig.pdb
7.069249356751743 7.167056865523364 7.055155094155843 7.314260429903434 5.7385449102140305 6.453386385345122 6.212800000000002 -7.410538222714038 0 mini_complex_ZINC01018842_lig.pdb
7.7521458916183095 7.506821486069485 7.468359664835161 7.489402915584414 6.279924962551573 6.775411430846896 6.549899999999996 -7.316943924188547 0 mini_complex_ZINC08438223_lig.pdb
6.635741608485243 7.237859276556767 6.4644765389610335 6.655256800865794 3.8956860737835424 5.123124175369021 5.309500000000002 -6.085221904714509 0 mini_complex_ZINC08437904_lig.pdb
6.0849436489583315 5.672868595238103 5.402604902097904 5.847801465922963 4.973421045140677 6.300517960674282 7.251400000000001 -6.511674843838293 0 mini_complex_ZINC00147704_lig.pdb
7.222812364010217 8.171205050061051 7.755249066988571 7.783673926739926 3.151381146903196 5.196791865265905 6.037899999999997 -9.172695103199594 0 mini_complex_ZINC08438103_lig.pdb
5.8649766807948875 6.302302300033298 6.2046632222222255 6.343930596681099 4.37737586253216 5.378437596401402 6.624100000000002 -7.64670729227489 0 mini_complex_ZINC00857521_lig.pdb
7.588529567446952 7.992532320956821 7.8981496048396 7.839522814185814 6.117128549717135 5.287188888966182 5.635599999999996 -7.423159728122319 0 mini_complex_ZINC08438112_lig.pdb
7.282078386569159 7.570349226440224 6.941954587967595 7.1217578318903385 4.490102265303246 5.187023693193245 6.6997 -7.412225471445928 0 mini_complex_ZINC08439212_lig.pdb
7.140990765883011 7.802824010101018 7.057506910533916 7.389747353812859 3.086912684884271 5.021397052481432 5.981 -6.332947560395397 0 mini_complex_ZINC02237028_lig.pdb
7.725874203530459 7.075751479742479 6.739282501443002 6.85034655350205 3.7078610765858295 5.309591177557165 7.092699999999999 -8.287972976119724 0 mini_complex_ZINC08439008_lig.pdb
6.703492721645974 7.2511787988253555 6.564566692030188 6.573089749306245 4.866306470720744 6.422369057516922 5.493699999999997 -4.398386562138727 0 mini_complex_ZINC08435282_lig.pdb
7.089115222678926 7.164873551670547 6.894088569042065 7.079646899600404 3.364319227304447 5.619537590275282 5.974899999999999 -8.308259926161362 0 mini_complex_ZINC02155788_lig.pdb
6.894664176968109 7.289561948495954 7.009306250360745 7.110504956543459 4.367599607963728 5.188378527212013 6.366499999999997 -6.526149354698612 0 mini_complex_ZINC08435140_lig.pdb
