name,rfscorevs,label
4lwe_FJ2_A_active,5.97976144435,1
4lww_LWW_A_active,6.03012972187,1
4lz7_1YW_B_active,5.96356071419,1
4lzr_LOC_A_active,5.99420680033,1
4m15_QWS_A_active,6.0409025128,1
4m1s_21K_B_active,5.95685561779,1
4m1t_21M_B_active,5.9593183981,1
4m21_21Y_B_active,5.9535875789,1
4m2x_TMQ_G_active,5.99623912912,1
4m3b_2B2_A_active,6.08215431212,1
4m3f_2D1_A_active,5.99608861007,1
4m3g_2G1_A_active,6.10202478824,1
4m6p_20R_A_active,6.02712131546,1
4m84_21E_A_active,6.05266628631,1
4mcb_21W_A_active,5.99976338022,1
4mg7_27H_A_active,6.35803566912,1
4mgd_27N_A_active,6.08046612106,1
4mjq_27R_A_active,5.95047417329,1
4mk0_29X_A_active,5.96455558745,1
4mlp_2CX_A_active,6.07742490037,1
4mp2_PV1_A_active,5.95474670856,1
4mpe_PV8_A_active,5.95333727513,1
4mvy_387_B_active,5.9834432313,1
4mwz_CQA_B_active,5.96548857051,1
4n86_GBJ_A_active,5.95,1
4n8e_2KV_A_active,5.95514575749,1
4nbn_2J7_B_active,6.16996209454,1
4nh8_2LC_A_active,5.98234207652,1
4nks_2M2_A_active,6.11323901443,1
4nsy_2OY_B_active,5.97055653411,1
4nud_NUD_A_active,5.95231136569,1
4nue_NUE_A_active,5.96576850011,1
4nus_2NK_A_active,6.0136682835,1
4nvq_2OD_A_active,6.09007711572,1
4nyw_2O3_A_active,5.97091562796,1
4o04_2Q8_A_active,5.98892043245,1
4o09_2R6_A_active,6.01226850384,1
4o0x_2OQ_A_active,6.14924374819,1
4o0y_2OO_A_active,6.2436766306,1
4o2a_2RR_B_active,6.36841946649,1
4o77_2RE_A_active,5.96717129454,1
4o7a_2RF_A_active,5.97065846903,1
4o7c_2RK_A_active,5.97789675601,1
4o7u_SS7_D_active,5.9854270682,1
4obq_2QT_A_active,6.14542441178,1
4ok6_2T7_A_active,5.96719296496,1
4ona_UW1_A_active,6.26193088862,1
4or7_25U_A_active,6.0752080791,1
4ovg_2VF_A_active,5.954292259,1
4oxk_1S5_A_active,5.98085584415,1
4oya_1VE_A_active,6.04255992724,1
4p1r_2KR_B_active,5.99547834368,1
4p4c_25Q_A_active,6.01123826156,1
4p8k_38C_A_active,5.96689786257,1
4p8l_36C_A_active,6.05320377998,1
4p8o_883_A_active,5.9865694796,1
4p8p_RG2_B_active,6.00198988526,1
4pjt_2YQ_A_active,6.28920827516,1
4pm1_ESZ_A_active,5.95,1
4pme_CUR_A_active,5.95380774393,1
4pnw_2VM_A_active,5.95,1
4psq_2WL_B_active,6.00975374736,1
4pwf_PWF_A_active,5.95028302996,1
4pwk_PWK_A_active,5.95288666012,1
4px6_2X6_A_active,6.21749857043,1
4py1_2YK_A_active,5.95707902797,1
4py2_43E_A_active,5.96947303947,1
4pzw_2X4_A_active,5.97568602006,1
4pzx_2X5_A_active,5.98320781922,1
4q0o_2XC_A_active,5.99733288559,1
4q7b_2YZ_A_active,6.05121740533,1
4q8t_2YV_A_active,6.07901141754,1
4q8u_2YW_A_active,6.15092053062,1
4q8v_2YX_A_active,6.12382055133,1
4q8w_2YY_A_active,6.21839284958,1
4qac_KK3_A_active,6.14135300825,1
4qbx_30L_A_active,6.10824515293,1
4qfc_31T_A_active,6.0320708955,1
4qhp_32Q_A_active,6.02257121705,1
4qhp_32R_A_active,6.01040871366,1
4qjz_33M_D_active,6.35262266065,1
4ql8_JAD_A_active,6.09877447672,1
4qmw_KS1_A_active,6.06222024179,1
4qo7_36V_A_active,5.98492213177,1
4qp9_35X_A_active,6.00383339033,1
4qps_37Q_A_active,6.1571638637,1
4qr3_BNJ_A_active,5.95,1
4qr4_BNK_A_active,5.95,1
4qr6_37V_A_active,6.05478970469,1
4qsj_EWW_A_active,6.1896853831,1
1pxl_CK4_A_active,6.07839945771,1
1pxn_CK6_A_active,6.00344388832,1
1pxp_CK8_A_active,5.98866022047,1
1q5k_TMU_A_active,5.95418279966,1
1qfs_ZPR_A_active,5.96275205166,1
1qj1_166_B_active,6.26085344613,1
1qj6_167_B_active,6.05818604685,1
1qpe_PP2_A_active,6.13365379344,1
1qy8_RDI_A_active,5.99665320233,1
4qt1_3C9_A_active,5.96940281634,1
4qxi_I98_A_active,6.142230805,1
4qyf_3DV_A_active,6.0072004735,1
4qyh_3DX_A_active,6.18342191825,1
4r5n_3J9_A_active,5.99733133232,1
4r6a_HB2_A_active,6.05693458898,1
4rch_3LZ_A_active,5.97585020016,1
4rj8_3QS_A_active,6.10836187218,1
4rlh_0WE_A_active,6.02028209203,1
4rol_3U7_A_active,5.94648267523,1
4rom_3U8_A_active,5.95277448895,1
4rrn_3UW_A_active,6.0247860048,1
4rro_3UX_A_active,6.02723340462,1
4rrs_3UY_A_active,5.98123671937,1
4rur_3WE_L_active,6.0056571634,1
4rvk_3XK_A_active,6.07567016048,1
4rvr_3WQ_A_active,5.96622215844,1
4rvt_3XM_A_active,5.98369026454,1
4rz7_1E8_A_active,6.19056212009,1
4rzq_Y7Y_A_active,5.98840161677,1
4std_BFS_A_active,5.97486939883,1
4tk0_32Z_A_active,5.97234558779,1
4tr9_38D_A_active,5.95280925698,1
4tu5_06W_X_active,6.0366945653,1
4two_37W_A_active,5.95549719892,1
4txe_38F_A_active,6.00612062165,1
4tyo_39X_A_active,5.99139697904,1
4u41_3C8_A_active,6.11676048112,1
4u5j_RXT_A_active,6.100627485,1
4u5o_3D5_A_active,5.94421118424,1
4u93_990_A_active,5.98762696975,1
4uco_D41_A_active,6.0262327384,1
4ufu_2ZI_A_active,6.07782543904,1
4ufv_31A_A_active,6.11049480027,1
4ufx_80O_A_active,6.01686421393,1
4ufz_IA7_A_active,5.99100438914,1
4ui6_ECZ_A_active,6.022399126,1
4ui8_IY5_A_active,6.03385611598,1
4uin_QI9_H_active,5.95673559777,1
4uj1_NVX_A_active,6.04031961437,1
4uj9_S3N_A_active,6.03232293385,1
4ujb_8BQ_A_active,6.01400452011,1
4umt_47W_A_active,6.01023167548,1
4umu_0V0_A_active,5.99980460979,1
4umx_VVS_A_active,6.02876036817,1
4unn_QZZ_A_active,6.00138013524,1
4unq_H6D_A_active,6.03560615789,1
4uns_QZ3_A_active,5.98646284243,1
4usf_6UI_A_active,6.01824145029,1
4uwb_JVT_A_active,5.96014163751,1
4uwc_4Y0_A_active,5.96721716383,1
4uye_9F9_A_active,5.97539354913,1
4v0s_7HN_A_active,5.97178343677,1
4w8e_3JB_A_active,6.08386534871,1
4we1_3LQ_A_active,6.04013715954,1
4wey_EG6_B_active,5.95859674959,1
4wm7_W11_A_active,6.02945203921,1
4wmu_19H_A_active,6.03525924627,1
4wmx_3R7_A_active,5.97760224551,1
4wno_3RF_A_active,6.06562564579,1
4wnp_3RJ_A_active,6.31745263136,1
4wr7_3TV_A_active,5.99620971281,1
4wrb_3TW_A_active,6.04733797463,1
4wsy_3U5_A_active,6.00995100291,1
4wua_3UL_A_active,6.00069430623,1
4wv7_3UM_A_active,5.95,1
4wz8_3W7_B_active,6.07678045906,1
4x48_XPF_B_active,5.93933200806,1
4x50_3X8_A_active,5.94862055757,1
4x6i_3Y1_A_active,5.95,1
4x6j_3Y2_A_active,5.95,1
4x6y_S94_A_active,6.15860512674,1
4xg6_X6G_A_active,6.05962949483,1
4xjp_41N_A_active,5.99821568806,1
4xx3_70X_A_active,6.06524869339,1
4xy9_43U_A_active,5.95,1
4xya_43S_A_active,5.95741284959,1
4y5h_519_A_active,6.07196437603,1
4y85_499_A_active,6.23445760331,1
4y8d_49J_A_active,5.95646153656,1
4yat_4A8_A_active,5.96136191992,1
4yes_45S_B_active,6.18084134852,1
4yh3_Y80_A_active,5.97538724668,1
4yh4_Y81_A_active,5.95809084177,1
4ylw_52Y_A_active,5.96166584382,1
4yo6_4GD_A_active,6.12016421073,1
4yq3_4G1_A_active,6.10955732236,1
4yqd_4GZ_A_active,6.09772519588,1
4yqh_4F7_A_active,5.98680500802,1
4ytc_4HW_A_active,6.23492306755,1
1rej_B1L_A_active,5.97501742934,1
1ry0_PG2_A_active,5.99063079002,1
1s3u_TQD_A_active,6.04164549181,1
1sjw_NGV_A_active,5.9865373797,1
1sqn_NDR_A_active,6.5854373242,1
1srh_MOB_A_active,5.99675101002,1
1t4v_14A_H_active,6.06956238248,1
1t9c_1SM_A_active,5.98783300463,1
1tom_MIN_H_active,6.14254230779,1
4yzu_4K6_A_active,6.03502412619,1
4z8d_4LB_A_active,5.97208382635,1
4zbi_4M6_A_active,6.26423537815,1
4zi1_KB0_A_active,6.6487529477,1
4zji_4OQ_A_active,6.14109628385,1
4zl1_18X_A_active,5.9619650464,1
4zmg_4R5_A_active,6.01117722038,1
4zms_4QT_A_active,5.99370778693,1
4zo5_4PX_A_active,5.96191803749,1
4zok_62L_A_active,6.01993969377,1
4zsj_4R0_A_active,5.96334076067,1
4zsp_4RZ_A_active,5.96218077272,1
4zsq_4RX_A_active,5.95568860954,1
4zsr_4RY_A_active,5.96215158936,1
4zt4_4RO_B_active,6.02877642027,1
4zw1_4V1_A_active,5.95955795104,1
4zy5_4T5_A_active,6.20768970022,1
4zy6_4T6_A_active,6.10889417188,1
4zzn_CQ8_A_active,5.98198367336,1
4zzo_CQ3_A_active,5.99999980217,1
4zzy_D7N_A_active,6.10713533942,1
5a5r_NP8_A_active,6.00056187715,1
5a81_78J_A_active,5.96995514305,1
5a8e_XTK_A_active,5.99173487559,1
